"Car","Price","Colour"
"t271n","3198","34"
"tlv1n","5429","62"
"tlv1n","5459","35"
"t211n","5750","71"
"t211n","5856","37"
"tsgtn","5924","32"
"t2xxn","6157","62"
"ttr1n","6375","31"
"tlv1n","6749","31"
"ttron","6802","62"
"tlevn","7841","73"
"tlvon","8185","31"
"tstln","8312","71"
"tspon","10171","36"
"tstln","10239","34"
"t2crn","10529","34"
"tspon","10842","31"
"texvn","12255","31"
"tceln","13116","36"
"tceln","13527","31"
"tmrln","15974","6D"
"t2c3n","16002","31"
"tcegn","16117","62"
"tcegn","16618","6B"
"tcegn","16717","71"
"t2a1n","17214","34"
"tmr2n","17256","36"
"tsoon","17645","71"
"tsprn","19841","31"
"tsoon","20039","6D"
"tsoon","20776","36"
"tsonn","22432","34"
"tsonn","22464","62"
"t22gn","108818","79"
"t22gn","117238","62"
