"CarID","NameFirstPart","NameSecondPart","Year"
"n-13n","Silvia Q's","(S13) '88","88"
"n-32n","Skyline GT-R","(R32) '91","91"
"n-p1n","Pulsar VZ-R","N1 '97","97"
"n24pn","Nismo 400R","Prototype","0"
"n2ksn","Silvia K's","Aero SE '98","98"
"n2sdn","Silvia Spec R","(S15) D-Rights '99","99"
"nax3n","300ZX 2-seater","'95","95"
"naxsn","300ZX Turbo","'95","95"
"naxvn","300ZX 2+2","'95","95"
"nep2n","Primera 2.0 GT","'98","98"
"nplrr","Pulsar GTi-R","Rally Car","0"
"nq14n","Silvia Q's","'95","95"
"nq15n","Silvia Q's","Aero '96","96"
"ns14n","Silvia K's","'95","95"
"ns15n","Silvia K's","Aero '96","96"
"nzx2n","Z Ver.S 2by2","Twin Turbo '94","94"
"nzx3n","Z Ver.S 2seater","'94","94"
"nzxsn","Z Ver.S 2seater","Twin Turbo '94","94"
"nzxvn","Z Ver.S 2by2","'94","94"
