"Car","Price","Colour"
"t271n","2528","31"
"t261n","3772","6B"
"tsgtn","4069","36"
"tsgtn","4443","62"
"t2con","4463","62"
"t2xxn","5760","34"
"t211n","5779","34"
"tlv1n","5999","62"
"t2con","6106","72"
"ttr1n","6855","31"
"ttron","7027","31"
"ttron","7045","62"
"t2c4n","7482","35"
"ttrnn","8018","34"
"tlevn","8187","31"
"tlevn","8642","36"
"tspon","8865","6C"
"tstln","9854","36"
"texvn","10599","62"
"tceln","10651","62"
"texvn","11039","71"
"t2crn","11554","35"
"tceln","11888","36"
"tm2vn","13504","31"
"tmrln","14564","72"
"tmrln","14617","62"
"tcegn","14704","36"
"t2spn","15358","62"
"tsorn","15522","34"
"tsorn","15627","31"
"tcegn","15760","31"
"tmrln","16326","34"
"t2a1n","16409","6D"
"t2spn","16955","35"
"tsoon","19125","34"
"tsprn","20265","71"
"tsoon","20571","36"
"tsonn","21424","71"
"tsoon","21791","31"
"t22gn","118106","34"
