"Car","Price","Colour"
"t271n","3043","35"
"t261n","4520","62"
"tsgtn","4532","36"
"tsgtn","5078","35"
"t2con","5422","35"
"t211n","5869","37"
"tlv1n","5990","62"
"t2con","6074","72"
"ttr1n","6484","31"
"t285n","6488","62"
"tlv1n","6989","31"
"ttron","7150","31"
"ttrnn","7966","6D"
"ttrnn","8427","36"
"tstln","8969","62"
"tstln","9705","36"
"t2crn","9996","34"
"tstln","10188","34"
"tspon","10912","62"
"tceln","11010","6B"
"tsorn","13113","62"
"tsorn","14549","36"
"tmrln","14642","62"
"tcegn","15292","31"
"t2c3n","15495","34"
"tcegn","18018","34"
"t2spn","18223","34"
"tmr2n","18291","6D"
"tsprn","20676","6D"
"tsonn","23498","62"
"tspnn","26960","34"
"t22gn","112693","36"
