"Car","Price","Colour"
"t271n","2517","31"
"t271n","3199","34"
"t271n","3282","69"
"t2con","4423","34"
"t211n","4989","62"
"ttr1n","5724","35"
"t211n","5935","37"
"t2xxn","6009","62"
"tlvon","6085","62"
"ttron","6253","62"
"t285n","6623","62"
"tlv1n","6704","31"
"t285n","7264","34"
"t2c4n","7628","35"
"tstln","9204","31"
"t2crn","10353","62"
"tspon","10600","36"
"t2crn","10839","65"
"tspon","11822","32"
"t2spn","14767","62"
"t2c3n","14960","34"
"t2c3n","15238","36"
"tsorn","15274","36"
"tmrln","15316","31"
"tsorn","15754","71"
"t2c3n","15792","62"
"tmr2n","15997","62"
"t2c3n","16102","71"
"tsorn","16637","31"
"t2spn","17709","34"
"tmr2n","18678","31"
"tsprn","19051","31"
"tmr2n","19113","34"
"tsoon","19117","65"
"tsoon","19930","62"
"tsprn","20127","34"
"tsonn","20418","36"
"tsoon","20764","6D"
"tsonn","21633","71"
"tsoon","22870","31"
"tspnn","27303","36"
