"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"fp26n","Peugeot 206 GTi","Peugeot 206 S16","Peugeot 206 S16","False","False","False","False"
"fp26r","[R]Peugeot 206 GTi","[R]Peugeot 206 S16","[R]Peugeot 206 S16","False","False","False","False"
"fp27n","Peugeot 206 GTi","Peugeot 206 S16","Peugeot 206 S16","True","True","True","True"
"fp27r","[R]Peugeot 206 GTi","[R]Peugeot 206 S16","[R]Peugeot 206 S16","True","True","True","True"
"fp2wr","[R]Peugeot 206 '99 RALLY CAR","[R]Peugeot 206 '99 Rally Car","[R]Peugeot 206 '99 Rally Car","False","False","False","False"
"fp2xr","[R]Peugeot 206 '99 RALLY CAR","[R]Peugeot 206 '99 Rally Car","[R]Peugeot 206 '99 Rally Car","True","True","True","True"
"fp4tn","Peugeot 406 V6","Peugeot 406 Sedan","Peugeot 406 Sedan","False","False","False","False"
"fp4tr","[R]Peugeot 406 V6","[R]Peugeot 406 Sedan","[R]Peugeot 406 Sedan","False","False","False","False"
"fp4un","Peugeot 406 V6","Peugeot 406 Sedan","Peugeot 406 Sedan","True","True","True","True"
"fp4ur","[R]Peugeot 406 V6","[R]Peugeot 406 Sedan","[R]Peugeot 406 Sedan","True","True","True","True"
"t22gn","TOYOTA 2000GT '67","Toyota 2000GT GT '68","Toyota 2000GT '67","False","False","False","False"
"t22gr","[R]TOYOTA 2000GT '67","[R]Toyota 2000GT GT '68","[R]Toyota 2000GT '67","False","False","False","False"
"t22hn","TOYOTA 2000GT '67","Toyota 2000GT GT '68","Toyota 2000GT '67","True","True","True","True"
"t22hr","[R]TOYOTA 2000GT '67","[R]Toyota 2000GT GT '68","[R]Toyota 2000GT '67","True","True","True","True"
"t2g8r","[R]GT-ONE '98","[R]Toyota GT-ONE '98","[R]Toyota GT-ONE '98","False","False","False","False"
"t2g9r","[R]GT-ONE '99","[R]Toyota GT-ONE '99","[R]Toyota GT-ONE '99","False","False","False","False"
"t2h8r","[R]GT-ONE '98","[R]Toyota GT-ONE '98","[R]Toyota GT-ONE '98","True","True","True","True"
"t2h9r","[R]GT-ONE '99","[R]Toyota GT-ONE '99","[R]Toyota GT-ONE '99","True","True","True","True"
