"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"q2m2n","MOVE (2WD) SR-XX '97","Move SR-XX (2WD) '97","Move SR-XX (2WD) '97","False","False","False","False"
"q2m2r","[R]MOVE (2WD) SR-XX '97","[R]Move SR-XX (2WD) '97","[R]Move SR-XX (2WD) '97","False","False","False","False"
"q2m4n","MOVE (4WD) SR-XX '97","Move SR-XX (4WD) '97","Move SR-XX (4WD) '97","False","False","False","False"
"q2m4r","[R]MOVE (4WD) SR-XX '97","[R]Move SR-XX (4WD) '97","[R]Move SR-XX (4WD) '97","False","False","False","False"
"q2m8n","MOVE SR-XX","Move SR-XX '98","Move SR-XX '98","False","False","False","False"
"q2m8r","[R]MOVE SR-XX","[R]Move SR-XX '98","[R]Move SR-XX '98","False","False","False","False"
"q2mcn","MOVE AERODOWN CUSTOM","Move Aerodown Custom '98","Move Aerodown Custom '98","False","False","False","False"
"q2mcr","[R]MOVE AERODOWN CUSTOM","[R]Move Aerodown Custom '98","[R]Move Aerodown Custom '98","False","False","False","False"
"q2mon","DAIHATSU MIRA TR-XX '90","Daihatsu Mira TR-XX '90","Daihatsu Mira TR-XX '90","False","False","False","False"
"q2mor","[R]DAIHATSU MIRA TR-XX '90","[R]Daihatsu Mira TR-XX '90","[R]Daihatsu Mira TR-XX '90","False","False","False","False"
"q2mvn","DAIHATSU MOVE CX '95","Daihatsu Move CX '95","Daihatsu Move CX '95","False","False","False","False"
"q2mvr","[R]DAIHATSU MOVE CX '95","[R]Daihatsu Move CX '95","[R]Daihatsu Move CX '95","False","False","False","False"
"q2o4n","OPTI CLUB SPORT (4WD) '97","Opti Club Sport (4WD) '97","Opti Club Sport (4WD) '97","False","False","False","False"
"q2o4r","[R]OPTI CLUB SPORT (4WD) '97","[R]Opti Club Sport (4WD) '97","[R]Opti Club Sport (4WD) '97","False","False","False","False"
"q2oen","OPTI AERODOWN BEEX","Opti Aerodown Beex '98","Opti Aerodown Beex '98","False","False","False","False"
"q2opn","OPTI CLUB SPORT (2WD) '97","Opti Club Sport (2WD) '97","Opti Club Sport (2WD) '97","False","False","False","False"
"q2opr","[R]OPTI CLUB SPORT (2WD) '97","[R]Opti Club Sport (2WD) '97","[R]Opti Club Sport (2WD) '97","False","False","False","False"
"q2s4n","DAIHATSU STORIA CX 4WD","Storia CX (4WD) '98","Storia CX (4WD) '98","False","False","False","False"
"q2s4r","[R]DAIHATSU STORIA CX 4WD","[R]Storia CX (4WD) '98","[R]Storia CX (4WD) '98","False","False","False","False"
"q2sgr","[R]DAIHATSU STORIA RALLY CAR","[R]Storia Rally Car","[R]Storia Rally Car","False","False","False","False"
"q2stn","DAIHATSU STORIA CX 2WD","Storia CX (2WD) '98","Storia CX (2WD) '98","False","False","False","False"
"q2str","[R]DAIHATSU STORIA CX 2WD","[R]Storia CX (2WD) '98","[R]Storia CX (2WD) '98","False","False","False","False"
"q2ten","TERIOS KID AERODOWN","Terios Kid Aerodown '98","Terios Kid Aerodown '98","False","False","False","False"
"q2trn","DAIHATSU MIRA TR","Daihatsu Mira TR '98","Daihatsu Mira TR '98","False","False","False","False"
"q2trr","[R]DAIHATSU MIRA TR","[R]Daihatsu Mira TR '98","[R]Daihatsu Mira TR '98","False","False","False","False"
"q2txn","DAIHATSU MIRA TX","Daihatsu Mira TX '98","Daihatsu Mira TX '98","False","False","False","False"
"q2txr","[R]DAIHATSU MIRA TX","[R]Daihatsu Mira TX '98","[R]Daihatsu Mira TX '98","False","False","False","False"
"q2x4n","DAIHATSU STORIA X4","Storia X4 '98","Storia X4 '98","False","False","False","False"
"q2x4r","[R]DAIHATSU STORIA X4","[R]Storia X4 '98","[R]Storia X4 '98","False","False","False","False"
"q2xrr","[R]DAIHATSU STORIA RALLY CAR","[R]Storia Rally Car","[R]Storia Rally Car","False","False","False","False"
