"CarID","NameFirstPart","NameSecondPart","Year"
"q2m2n","Move SR-XX","(2WD) '97","97"
"q2m4n","Move SR-XX","(4WD) '97","97"
"q2m8n","Move SR-XX","'98","98"
"q2mcn","Move Aerodown","Custom (4WD) '98","98"
"q2min","Midget II","D-type","0"
"q2mon","Mira TR-XX","'90","90"
"q2mvn","Move CX","'95","95"
"q2o4n","Opti Club Sport","(4WD) '97","97"
"q2oen","Opti Aerodown","Beex (4WD) '98","98"
"q2opn","Opti Club Sport","(2WD) '97","97"
"q2s4n","Storia CX","(4WD) '98","98"
"q2sgr","Storia","Rally Car","0"
"q2stn","Storia CX","(2WD) '98","98"
"q2ten","Terios Kid","Aerodown '98","98"
"q2trn","Mira TR","'98","0"
"q2txn","Mira TX","'98","0"
"q2x4n","Storia X4","'98","98"
