"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"h-err","[R]CR-X del Sol LM Edition","[R]CR-X del Sol LM Edition","[R]CR-X del Sol LM Edition","False","False","False","False"
"h28cn","HONDA ACCORD SiR-T","Accord SiR-T '98","Accord SiR-T '98","False","False","False","False"
"h28cr","[R]HONDA ACCORD SiR-T","[R]Accord SiR-T '98","[R]Accord SiR-T '98","False","False","False","False"
"h28wn","HONDA ACCORD Wagon SiR","Accord Wagon SiR '98","Accord Wagon SiR '98","False","False","False","False"
"h28wr","[R]HONDA ACCORD Wagon SiR","[R]Accord Wagon SiR '98","[R]Accord Wagon SiR '98","False","False","False","False"
"h2a0n","ACURA NSX '91","Acura NSX '91","Acura NSX '91","False","False","False","False"
"h2a0r","[R]ACURA NSX '91","[R]Acura NSX '91","[R]Acura NSX '91","False","False","False","False"
"h2a2n","ACURA NSX '97","Acura NSX '97","Acura NSX '97","False","False","False","False"
"h2a2r","[R]ACURA NSX '97","[R]Acura NSX '97","[R]Acura NSX '97","False","False","False","False"
"h2acn","HONDA ACCORD SiR-T '97","Accord SiR-T '97","Accord SiR-T '97","False","False","False","False"
"h2acr","[R]HONDA ACCORD SiR-T '97","[R]Accord SiR-T '97","[R]Accord SiR-T '97","False","False","False","False"
"h2ain","ACURA INTEGRA GS-R","Acura Integra GS-R '98","Acura Integra GS-R '98","False","False","False","False"
"h2air","[R]ACURA INTEGRA GS-R","[R]Acura Integra GS-R'98","[R]Acura Integra GS-R '98","False","False","False","False"
"h2arn","HONDA ACCORD Type R","Accord Type R","Accord Type R","False","False","False","False"
"h2arr","[R]HONDA ACCORD Type R","[R]Accord Type R","[R]Accord Type R","False","False","False","False"
"h2awn","HONDA ACCORD WGN '97","Accord Wagon 2300VTL '97","Accord Wagon 2300VTL '97","False","False","False","False"
"h2awr","[R]HONDA ACCORD WGN '97","[R]Accord Wagon 2300VTL '97","[R]Accord Wagon 2300VTL '97","False","False","False","False"
"h2cfn","HONDA CIVIC FERIO Si (EK)","Civic Ferio Si '98","Civic Ferio Si '98","False","False","False","False"
"h2cfr","[R]HONDA CIVIC FERIO Si (EK)","[R]Civic Ferio Si '98","[R]Civic Ferio Si '98","False","False","False","False"
"h2crn","HONDA CIVIC Type R (EK)","Civic Type R '98","Civic Type R '98","False","False","False","False"
"h2crr","[R]HONDA CIVIC Type R (EK)","[R]Civic Type R '98","[R]Civic Type R '98","False","False","False","False"
"h2csn","HONDA CIVIC SiR (EK)","Civic SiR '98","Civic SiR '98","False","False","False","False"
"h2csr","[R]HONDA CIVIC SiR (EK)","[R]Civic SiR '98","[R]Civic SiR '98","False","False","False","False"
"h2irn","HONDA INTEGRA Type R '98","Honda Integra Type-R '98","Honda Integra Type-R '98","False","False","False","False"
"h2irr","[R]HONDA INTEGRA Type R '98","[R]Honda Integra Type-R '98","[R]Honda Integra Type-R '98","False","False","False","False"
"h2m2n","MUGEN CR-X Pro.2","Mugen CR-X Pro.2","Mugen CR-X Pro.2","False","False","False","False"
"h2man","MUGEN ACCORD SIR-T","Mugen Accord SiR-T","Mugen Accord SiR-T","False","False","False","False"
"h2mcn","MUGEN CIVIC TYPE R","Mugen Civic Type R","Mugen Civic Type R","False","False","False","False"
"h2mdn","MUGEN CR-X Pro.3","Mugen CR-X Pro.3","Mugen CR-X Pro.3","False","False","False","False"
"h2min","MUGEN INTEGRA TYPE R","Mugen Integra Type R","Mugen Integra Type R","False","False","False","False"
"h2mpn","MUGEN PRELUDE TYPE S","Mugen Prelude Type S","Mugen Prelude Type S","False","False","False","False"
"h2prn","HONDA PRELUDE SiR","Prelude SiR '98","Prelude SiR '98","False","False","False","False"
"h2prr","[R]HONDA PRELUDE SiR","[R]Prelude SiR '98","[R]Prelude SiR '98","False","False","False","False"
"h2psn","HONDA PRELUDE SiR S spec","Prelude SiR S spec '98","Prelude SiR S spec '98","False","False","False","False"
"h2psr","[R]HONDA PRELUDE SiR S spec","[R]Prelude SiR S spec '98","[R]Prelude SiR S spec '98","False","False","False","False"
"h2scn","Spoon CIVIC","Spoon Civic Type R","Spoon Civic Type R","False","False","False","False"
"h2sin","Spoon INTEGRA","Spoon Integra Type R","Spoon Integra Type R","False","False","False","False"
"hacsn","HONDA ACCORD SiR '96","Accord SiR '96","Accord SiR '96","False","False","False","False"
"hacsr","[R]HONDA ACCORD SiR '96","[R]Accord SiR '96","[R]Accord SiR '96","False","False","False","False"
"hacwn","HONDA ACCORD WGN SiR '96","Accord Wagon SiR '96","Accord Wagon SiR '96","False","False","False","False"
