"CarID","NameFirstPart","NameSecondPart","Year"
"h-err","CR-X del Sol LM","Edition","0"
"h28cn","Accord SiR-T","'98","98"
"h28wn","Accord Wagon","SiR '98","98"
"h2a0n","Acura NSX","'91","91"
"h2a2n","Acura NSX","'97","97"
"h2acn","Accord SiR-T","'97","97"
"h2ain","Acura Integra","GS-R '98","98"
"h2arn","Accord Type R","","0"
"h2awn","Accord Wagon","2300VTL '97","97"
"h2ben","Beat","'91","91"
"h2bfn","Beat ver.F","'92","92"
"h2bzn","Beat ver.Z","'94","94"
"h2cfn","Civic Ferio Si","(EK) '98","98"
"h2cnr","Mugen NSX","'98","98"
"h2crn","Civic Type R","(EK) '98","98"
"h2csn","Civic SiR","(EK) '98","98"
"h2ign","Integra SiR-G","'98","98"
"h2irn","Integra Type R","'98","98"
"h2l2r","S2000 GT1","","0"
"h2l8n","Life T","'98","98"
"h2lin","Life T","'97","97"
"h2lon","Logo TS","'98","98"
"h2m2n","Mugen CR-X","Pro.2","0"
"h2man","Mugen Accord","SiR-T","0"
"h2mbn","Mugen Beat","","0"
"h2mcn","Mugen Civic","Type R","0"
"h2mdn","Mugen CR-X","Pro.3","0"
"h2mfn","Mugen Civic","Ferio","0"
"h2min","Mugen Integra","Type R","0"
"h2mpn","Mugen Prelude","Type S","0"
"h2mwn","Mugen Accord","Wagon","0"
"h2n1r","Mobil 1 NSX","'99","99"
"h2ncr","Mugen NSX","'99","99"
"h2nrr","Raybrig NSX","'99","99"
"h2ntr","Takata NSX","'99","99"
"h2prn","Prelude SiR","'98","98"
"h2psn","Prelude SiR S","spec '98","98"
"h2s2n","S2000","'99","99"
"h2scn","Spoon Civic","Type R","0"
"h2sin","Spoon Integra","Type R","0"
"h2ssn","Spoon S2000","","0"
"h2ztn","Z Turbo","'98","98"
"hacsn","Accord SiR","'96","96"
"hacwn","Accord Wagon","SiR '96","96"
"hairn","Acura Integra","Type R '98","98"
"hcfnn","Civic Ferio Si","II (EK) '96","96"
"hcfon","Civic Ferio SiR","(EG) '93","93"
"hcrxn","CR-X SiR","(EF8) '91","91"
"hcvnn","Civic SiR-II","(EK) '95","95"
"hcvon","Civic SiR-II","(EG) '93","93"
"hcvrn","Civic Type R","(EK) '97","97"
"hdegn","CR-X del Sol","VGi '95","95"
"hdeln","CR-X del Sol","VXi '92","92"
"hdern","CR-X del Sol","SiR '92","92"
"hdesn","CR-X del Sol","SiR '95","95"
"hiarn","Acura Integra","Type R '95","95"
"hiasn","Acura Integra","GS-R '95","95"
"hinrn","Integra Type R","'95","95"
"hinsn","Integra SiR-G","'95","95"
"hnsbn","NSX","","0"
"hnsnn","NSX Type S Zero","","0"
"hnsrn","NSX Type R","'92","92"
"hnssn","NSX Type S","","0"
"hnsxn","NSX","'90","90"
"hpnen","Prelude SiR","'96","96"
"hpnvn","Prelude Type S","'96","96"
"hpren","Prelude Si","'91","91"
"hprvn","Prelude Si VTEC","'91","91"
