"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"a-a7r","[R]RX-7 A-spec LM Edition","[R]RX-7 A-spec LM Edition","[R]RX-7 A-spec LM Edition","False","False","False","False"
"a222n","Savanna RX-7 GT-Turbo '83","Savanna RX-7 GT-Turbo '83","Savanna RX-7 GT-Turbo '83","False","False","False","False"
"a222r","[R]Savanna RX-7 GT-Turbo '83","[R]Savanna RX-7 GT-Turbo '83","[R]Savanna RX-7 GT-Turbo '83","False","False","False","False"
"a26sn","ROADSTER 1.6 S PACKAGE","Roadster 1.6 S Package '98","Roadster 1.6 S Package '98","False","False","False","False"
"a26sr","[R]ROADSTER 1.6 S PACKAGE","[R]Roadster 1.6 S Package '98","[R]Roadster 1.6 S Package '98","False","False","False","False"
"a28bn","MAZDA RX-7 Type RB","RX-7 Type RB '98","RX-7 Type RB '98","False","False","False","False"
"a28br","[R]MAZDA RX-7 Type RB","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","False","False","False","False"
"a28bs","[R]MAZDA RX-7 Type RB","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","False","False","False","False"
"a28rn","MAZDA RX-7 Type R","RX-7 Type R '98","RX-7 Type R '98","False","False","False","False"
"a28rr","[R]MAZDA RX-7 Type R","[R]RX-7 Type R '98","[R]RX-7 Type R '98","False","False","False","False"
"a28rs","[R]MAZDA RX-7 Type R","[R]RX-7 Type R '98","[R]RX-7 Type R '98","False","False","False","False"
"a28sn","MAZDA RX-7 Type RS","RX-7 Type RS '98","RX-7 Type RS '98","False","False","False","False"
"a28sr","[R]MAZDA RX-7 Type RS","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","False","False","False","False"
"a28ss","[R]MAZDA RX-7 Type RS","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","False","False","False","False"
"a2abn","Mazdaspeed Roadster B-spec","Mazdaspeed Roadster B-spec","Mazdaspeed Roadster B-spec","False","False","False","False"
"a2azn","AUTOZAM AZ-1","Autozam AZ-1 '91","Autozam AZ-1 '91","False","False","False","False"
"a2bgn","MAZDA BG FAMILIA GT-R '92","Familia GT-R '92","Familia GT-R '92","False","False","False","False"
"a2bgr","[R]MAZDA BG FAMILIA GT-R '92","[R]Familia GT-R '92","[R]Familia GT-R '92","False","False","False","False"
"a2bin","MAZDA FAMILIA INTERPLAY '89","Familia Interplay '89","Familia Interplay '89","False","False","False","False"
"a2bir","[R]MAZDA FAMILIA INTERPLAY '89","[R]Familia Interplay '89","[R]Familia Interplay '89","False","False","False","False"
"a2brr","[R]MAZDA FAMILIA RALLY CAR","[R]Familia Rally Car","[R]Familia Rally Car","False","False","False","False"
"a2bsn","MAZDA BG FAMILIA GT '92","Familia GT-X '92","Familia GT-X '92","False","False","False","False"
"a2bsr","[R]MAZDA BG FAMILIA GT '92","[R]Familia GT-X '92","[R]Familia GT-X '92","False","False","False","False"
"a2gln","MAZDA DEMIO GL-X","Demio GL-X '99","Demio GL-X '99","False","False","False","False"
"a2glr","[R]MAZDA DEMIO GL-X","[R]Demio GL-X '99","[R]Demio GL-X '99","False","False","False","False"
"a2gsn","MAZDA DEMIO GL-X special","Demio GL-X Special '98","Demio GL-X Special '98","False","False","False","False"
"a2gsr","[R]MAZDA DEMIO GL-X special","[R]Demio GL-X Special '98","[R]Demio GL-X Special '98","False","False","False","False"
"a2l7r","[R]RX-7 GT-C LM Edition","[R]RX-7 GT-C LM Edition","[R]RX-7 GT-C LM Edition","False","False","False","False"
"a2ran","Mazdaspeed Roadster A-spec","Mazdaspeed Roadster A-spec","Mazdaspeed Roadster A-spec","False","False","False","False"
"a2rbn","MAZDA RX-7 Type RB '97","RX-7 Type RB '97","RX-7 Type RB '97","False","False","False","False"
"a2rbr","[R]MAZDA RX-7 Type RB '97","[R]RX-7 Type RB '97","[R]RX-7 Type RB '97","False","False","False","False"
"a2rbs","[R]MAZDA RX-7 Type RB '97","[R]RX-7 Type RB '97","[R]RX-7 Type RB '97","False","False","False","False"
"a2rcn","Mazdaspeed Roadster C-spec","Mazdaspeed Roadster C-spec","Mazdaspeed Roadster C-spec","False","False","False","False"
"a2rdn","ROADSTER 1.8 RS D-RIGHTS","Roadster 1.8 RS D-Rights","Roadster 1.8 RS D-Rights","False","False","False","False"
"a2rrn","MAZDA RX-7 RS-R '97","RX-7 RS-R '97","RX-7 RS-R '97","False","False","False","False"
"a2rrr","[R]MAZDA RX-7 RS-R '97","[R]RX-7 RS-R '97","[R]RX-7 RS-R '97","False","False","False","False"
"a2rrs","[R]MAZDA RX-7 RS-R '97","[R]RX-7 RS-R '97","[R]RX-7 RS-R '97","False","False","False","False"
"a2rsn","MAZDA RX-7 Type RS '97","RX-7 Type RS '97","RX-7 Type RS '97","False","False","False","False"
"a2rsr","[R]MAZDA RX-7 Type RS '97","[R]RX-7 Type RS '97","[R]RX-7 Type RS '97","False","False","False","False"
"a2rss","[R]MAZDA RX-7 Type RS '97","[R]RX-7 Type RS '97","[R]RX-7 Type RS '97","False","False","False","False"
"a2rzn","MAZDA RX-7 Type RZ '97","RX-7 Type RZ '97","RX-7 Type RZ '97","False","False","False","False"
"a2rzr","[R]MAZDA RX-7 Type RZ '97","[R]RX-7 Type RZ '97","[R]RX-7 Type RZ '97","False","False","False","False"
"a2rzs","[R]MAZDA RX-7 Type RZ '97","[R]RX-7 Type RZ '97","[R]RX-7 Type RZ '97","False","False","False","False"
"a2swn","MAZDA FAMILIA S-Wagon","Familia S-Wagon '99","Familia S-Wagon '99","False","False","False","False"
"a2swr","[R]MAZDA FAMILIA S-Wagon","[R]Familia S-Wagon '99","[R]Familia S-Wagon '99","False","False","False","False"
"a2vsn","MAZDA ROADSTER 1.8 VS","Roadster 1.8 VS","Roadster 1.8 VS '98","False","False","False","False"
"a2vsr","[R]MAZDA ROADSTER 1.8 VS","[R]Roadster 1.8 VS","[R]Roadster 1.8 VS '98","False","False","False","False"
"acoen","EUNOS COSMO 20B","Eunos Cosmo Type-E '94","Eunos Cosmo Type-E '94","False","False","False","False"
"acoer","[R]EUNOS COSMO 20B","[R]Eunos Cosmo Type-E '94","[R]Eunos Cosmo Type-E '94","False","False","False","False"
"acosn","EUNOS COSMO 13B","Eunos Cosmo Type-S '94","Eunos Cosmo Type-S '94","False","False","False","False"
"acosr","[R]EUNOS COSMO 13B","[R]Eunos Cosmo Type-S '94","[R]Eunos Cosmo Type-S '94","False","False","False","False"
