"CarID","NameFirstPart","NameSecondPart","Year"
"a-a7r","RX-7 A-spec LM","Edition","0"
"a-emn","Demio A-spec","'97","97"
"a222n","Savanna RX-7","GT-Turbo '83","83"
"a26sn","Roadster 1.6 S","Package '98","98"
"a28bn","RX-7 Type RB","'98","98"
"a28rn","RX-7 Type R","'98","98"
"a28sn","RX-7 Type RS","'98","98"
"a2aan","AZ-1 A-spec","'91","91"
"a2abn","Roadster B-spec","","0"
"a2azn","AZ-1","'91","91"
"a2bgn","Familia GT-R","'92","92"
"a2bin","Familia Interplay","'89","89"
"a2bsn","Familia GT-X","'92","92"
"a2gcn","RX-7 GT-C","'99","99"
"a2gln","Demio GL-X","'99","99"
"a2gsn","Demio GL-X","Special '98","98"
"a2l7r","RX-7 GT-C LM","Edition","0"
"a2mkr","RE Amemiya RX-7","'99","99"
"a2ran","Roadster A-spec","","0"
"a2rbn","RX-7 Type RB","'97","97"
"a2rcn","Roadster C-spec","","0"
"a2rrn","RX-7 RS-R","'97","97"
"a2rsn","RX-7 Type RS","'97","97"
"a2rzn","RX-7 Type RZ","'97","97"
"a2spn","Savanna RX-7","Cabriolet '90","90"
"a2swn","Familia S-Wagon","'99","99"
"a2vsn","Roadster 1.8 VS","'98","98"
"acoen","Eunos Cosmo","Type-E '94","94"
"acosn","Eunos Cosmo","Type-S '94","94"
"ademn","Demio GL-X","'97","97"
"adgln","Demio GL","'97","97"
"adlxn","Demio LX G","Package '97","97"
"afa7n","RX-7 A-spec","'96","96"
"afb7n","efini RX-7","Type RB '96","96"
"afc7n","Savanna RX-7","infini III '90","90"
"afd7n","efini RX-7","Type RZ '96","96"
"afn7r","RX-7 LM","Edition","0"
"afo7n","efini RX-7","Type R '91","91"
"afr7n","Savanna RX-7","GT-X '90","90"
"afx7n","efini RX-7","Touring X '96","96"
"altsn","Lantis Coupe","Type R '93","93"
"aminn","Eunos Roadster","'93","93"
"amisn","Eunos Roadster","S-Special '93","93"
"amivn","Eunos Roadster","V-Special '93","93"
"an16n","Eunos Roadster","'89","89"
"arodn","Roadster 1.8 RS","'98","98"
"as16n","Eunos Roadster","S-Special '92","92"
"av16n","Eunos Roadster","V-Special '90","90"
