"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"m2mrn","MITSUBISHI GTO MR","Mitsubishi GTO MR '99","Mitsubishi GTO MR '99","False","False","False","False"
"m2mrr","[R]MITSUBISHI GTO MR","[R]Mitsubishi GTO MR '99","[R]Mitsubishi GTO MR '99","False","False","False","False"
"m2srn","MITSUBISHI GTO SR","Mitsubishi GTO SR '99","Mitsubishi GTO SR '99","False","False","False","False"
"m2srr","[R]MITSUBISHI GTO SR","[R]Mitsubishi GTO SR '99","[R]Mitsubishi GTO SR '99","False","False","False","False"
"m2tlr","[R]GTO LM Edition '99","[R]Mitsubishi GTO LM '99","[R]Mitsubishi GTO LM '99","False","False","False","False"
"m2ttn","MITSUBISHI GTO Twin Turbo","Mitsubishi GTO Twin Turbo '99","Mitsubishi GTO Twin Turbo '99","False","False","False","False"
"m2ttr","[R]MITSUBISHI GTO Twin Turbo","[R]Mitsubishi GTO Twin Turbo '99","[R]Mitsubishi GTO Twin Turbo '99","False","False","False","False"
"mgnon","MITSUBISHI GTO SR '97","Mitsubishi GTO SR '97","Mitsubishi GTO SR '97","False","False","False","False"
"mgnor","[R]MITSUBISHI GTO SR '97","[R]Mitsubishi GTO SR '97","[R]Mitsubishi GTO SR '97","False","False","False","False"
"mgntn","MITSUBISHI GTO TwinTurbo '97","Mitsubishi GTO Twin Turbo '97","Mitsubishi GTO Twin Turbo '97","False","False","False","False"
"mgntr","[R]MITSUBISHI GTO TwinTurbo '97","[R]Mitsubishi GTO Twin Turbo '97","[R]Mitsubishi GTO Twin Turbo '97","False","False","False","False"
"mgoon","MITSUBISHI GTO '92","Mitsubishi GTO '92","Mitsubishi GTO '92","False","False","False","False"
"mgoor","[R]MITSUBISHI GTO '92","[R]Mitsubishi GTO '92","[R]Mitsubishi GTO '92","False","False","False","False"
"mgotn","MITSUBISHI GTO Twin Turbo '92","Mitsubishi GTO Twin Turbo '92","Mitsubishi GTO Twin Turbo '92","False","False","False","False"
"mgotr","[R]MITSUBISHI GTO Twin Turbo '92","[R]Mitsubishi GTO Twin Turbo '92","[R]Mitsubishi GTO Twin Turbo '92","False","False","False","False"
"mgtlr","[R]GTO LM Edition","[R]Mitsubishi GTO LM","[R]Mitsubishi GTO LM","False","False","False","False"
"mgtmn","MITSUBISHI GTO MR '95","Mitsubishi GTO MR '95","Mitsubishi GTO MR '95","False","False","False","False"
"mgtmr","[R]MITSUBISHI GTO MR '95","[R]Mitsubishi GTO MR '95","[R]Mitsubishi GTO MR '95","False","False","False","False"
"mgton","MITSUBISHI GTO SR '95","Mitsubishi GTO SR '95","Mitsubishi GTO SR '95","False","False","False","False"
"mgtor","[R]MITSUBISHI GTO SR '95","[R]Mitsubishi GTO SR '95","[R]Mitsubishi GTO SR '95","False","False","False","False"
"mgttn","MITSUBISHI GTO Twin Turbo '95","Mitsubishi GTO Twin Turbo '95","Mitsubishi GTO Twin Turbo '95","False","False","False","False"
"mgttr","[R]MITSUBISHI GTO Twin Turbo '95","[R]Mitsubishi GTO Twin Turbo '95","[R]Mitsubishi GTO Twin Turbo '95","False","False","False","False"
