"CarID","NameFirstPart","NameSecondPart","Year"
"m-tor","FTO LM Edition","","0"
"m2agn","Galant VR-G","'99","99"
"m2aln","Galant VR-4","'99","99"
"m2g2n","Lancer","Evolution II '94","94"
"m2g4n","Galant","Super VR-4 '98","98"
"m2g5n","Lancer","Evolution V GSR '98","98"
"m2g6n","Lancer","Evolution VI GSR '99","99"
"m2l4n","Legnum","Super VR-4 '98","98"
"m2lgn","Legnum VR-4","type-S '97","97"
"m2lsn","Legnum ST","'97","97"
"m2m5n","Mine's Lancer","Evolution V","0"
"m2m7n","Mirage Asti","ZR '97","97"
"m2m8n","Minica Pj","'98","98"
"m2man","Mirage Asti","RX-R '98","98"
"m2min","Mirage","Cyborg-ZR '97","97"
"m2mon","Minica","Dangan ZZ '90","90"
"m2ngn","Legnum VR-4","type-S '99","99"
"m2nsn","Legnum 24 ST","'99","99"
"m2p8n","Pajero Mini","Sport '98","98"
"m2pjn","Pajero Mini","VR-II '97","97"
"m2r5n","Lancer","Evolution V RS '98","98"
"m2r6n","Lancer","Evolution VI RS '99","99"
"m2tfr","Taeivon FTO","GT '99","99"
"mecln","Eclipse GS-T","","97"
"mftgn","FTO GR","'97","97"
"mftnn","FTO GP","Version R '97","97"
"mfton","FTO GPX","'94","94"
"mftrn","FTO GR","'94","94"
"mftxn","FTO GPX","'97","97"
"mgagn","Galant VR-G","Touring '96","96"
"mgaln","Galant VR-4","'96","96"
"mlnnn","Lancer","Evolution IV GSR '96","96"
"mlnon","Lancer","Evolution III GSR '95","95"
"mmgon","Mirage","Cyborg R '92","92"
"mmgrn","Mirage Asti","RX '96","96"
