"CarID","NameFirstPart","NameSecondPart","Year"
"n-00n","Nismo 400R","","0"
"n-18n","Sileighty","","0"
"n180n","180SX Type X","'95","95"
"n18nn","180SX Type X","'96","96"
"n18sn","180SX Type S","'96","96"
"n230n","Skyline RS-X","Turbo (DR30) '84","84"
"n231n","Skyline GTS-R","(R31) '87","87"
"n234n","Skyline 25GT","Turbo (R34) '98","98"
"n239r","R390 GT1","Race Car '97","97"
"n23nn","R390 GT1","Road Car '97","97"
"n23sr","Skyline","Silhouette Formula (R30)","0"
"n23zr","300ZX-GTS","'97","97"
"n240r","R390 GT1","Race Car '98","98"
"n24nn","R390 GT1","Road Car '98","98"
"n24pn","Nismo 400R","Prototype","0"
"n24rn","Skyline GT-R","(R34) '99","99"
"n24vn","Skyline GT-R","V spec (R34) '99","99"
"n24zn","Fairlady 240ZG","(HS30) '71","71"
"n260n","Stagea 260RS","Autech Ver. Nismo","0"
"n270n","Nismo 270R","","0"
"n271n","Skyline GT-R","(KPGC10) '71","71"
"n280n","Skyline 280","Type MR","0"
"n284n","Stagea 25t","RS Four V '98","98"
"n28gn","Stagea 260RS","Autech Ver. '98","98"
"n2cun","Cube X","'98","98"
"n2d3r","HKS R33","Drag GT-R","0"
"n2d8r","HKS 180SX","Drag","0"
"n2ksn","Silvia K's","Aero SE (S14) '98","98"
"n2m2n","Mine's R32.5","Skyline GT-R","0"
"n2m3n","Mine's R33","Skyline GT-R","0"
"n2m4n","Mine's R34","Skyline GT-R","0"
"n2man","March G#","'97","97"
"n2mtn","March","Super Turbo '89","89"
"n2p1n","Pulsar VZ-R N1","'97","97"
"n2p2n","Primera 2.0Te-V","'98","98"
"n2pvn","Pulsar VZ-R","'97","97"
"n2pwn","Primera Wagon","2.0G-V '98","98"
"n2r4n","Skyline GT-R","Autech Ver. '97","97"
"n2rnn","Skyline GT-R","Autech Ver. Nismo","0"
"n2rtn","Z Ver.R 2by2","Twin Turbo '98","98"
"n2s4n","Stagea RS Four","V '97","97"
"n2sgn","Stagea 260RS","Autech Ver. '97","97"
"n2skn","Silvia Spec R","(S15) '99","99"
"n2snn","Sunny VZ-R","'98","98"
"n2sqn","Silvia Spec S","(S15) '99","99"
"n2stn","Z Ver.S 2seater","Twin Turbo '98","98"
"n2sxn","Silvia Spec R","Aero (S15) '99","99"
"n2syn","Silvia Spec S","Aero (S15) '99","99"
"n2zrn","Z Ver.R 2by2","'98","98"
"n2zsn","Z Ver.S 2seater","'98","98"
"n432n","Skyline GTS4","(R32) '91","91"
"nl33n","Nismo GT-R LM","Road Car (R33)","0"
"nm32n","Skyline GTS25","Type S (R32) '91","91"
"nn32n","Skyline GT-R","NISMO (R32) '90","90"
"nplon","Pulsar GTi-R","'91","91"
"nprin","Primera 2.0Te","'95","95"
"npron","Primera 2.0Te","'90","90"
"nq13n","Silvia Q's","(S13) '88","88"
"nq14n","Silvia Q's","(S14) '95","95"
"nq15n","Silvia Q's","Aero (S14) '96","96"
"nq23n","Silvia Q's","(S13) '91","91"
"nr02n","Skyline GT-R","(R32) '89","89"
"nr32n","Skyline GT-R","(R32) '91","91"
"nr33n","Skyline GT-R","(R33) '95","95"
"nr34n","Skyline GT-R","(R33) '97","97"
"ns13n","Silvia K's","(S13) '88","88"
"ns14n","Silvia K's","(S14) '95","95"
"ns15n","Silvia K's","Aero (S14) '96","96"
"ns23n","Silvia K's","(S13) '91","91"
"nt32n","Skyline GTS-t","Type M (R32) '91","91"
"nt33n","Skyline GTS25t","Type M (R33) '96","96"
"nv12n","Skyline GT-R","V spec (R32) '93","93"
"nv22n","Skyline GT-R","V spec II (R32) '94","94"
"nv33n","Skyline GT-R","V spec (R33) '95","95"
"nv34n","Skyline GT-R","V spec (R33) '97","97"
"nzx2n","Z Ver.S 2by2","Twin Turbo '94","94"
"nzx3n","Z Ver.S 2seater","'94","94"
"nzxsn","Z Ver.S 2seater","Twin Turbo '94","94"
"nzxvn","Z Ver.S 2by2","'94","94"
