"CarID","NameFirstPart","NameSecondPart","Year"
"t-rdn","TRD3000GT","","0"
"t211n","MR2","1600G-Limited '86","86"
"t22dn","TRD2000GT","","0"
"t22gn","2000GT","'67","67"
"t261n","Starlet","S (KP61) '78","78"
"t271n","Starlet","3 Door Turbo S (EP71) '87","87"
"t286r","BP A'PEX Trueno","GT '99","99"
"t29lr","Altezza LM","Edition","0"
"t2lvn","Corolla Levin","BZR '98","98"
"t2mmr","MOMO Corse MR2","GT '99","99"
"t2prn","Prius","'97","97"
"t2scr","Castrol Supra","GT '99","99"
"t2sdr","Denso Supra","GT '99","99"
"t2sor","Cerumo Supra","GT '99","99"
"t2spn","MR Spider","'96","96"
"t2svn","Starlet","Glanza V (EP91) '98","98"
"t2t1n","TOM's T111","","0"
"t2t2n","TOM's T020","","0"
"t2t8n","TOM's Supra","","0"
"t2tan","TOM's Angel","T01","0"
"t2trn","Sprinter Trueno","BZR '98","98"
"t2wsr","Weds Celica","GT '99","99"
"texvn","Corona Exiv","200GT '96","96"
"tlevn","Corolla Levin","BZG '96","96"
"tlv1n","Corolla Levin","GT-APEX '83","83"
"tlvon","Corolla Levin","GT-APEX '85","85"
"tm2sn","Mark II","Tourer S '92","92"
"tm2vn","Mark II","Tourer V '92","92"
"tsplr","Castrol Supra","GT '96","96"
"tstln","Starlet","Glanza V (EP91) '96","96"
"ttr1n","Sprinter Trueno","GT-APEX '83","83"
"ttrnn","Sprinter Trueno","BZG '96","96"
"ttron","Sprinter Trueno","GT-APEX '85","85"
