"CarID","NameFirstPart","NameSecondPart","Year"
"t285n","Celica GT-Four","(ST165) '88","88"
"t291n","Altezza RS200","'98","98"
"t292n","Altezza AS200","'98","98"
"t29nn","Altezza 280T","(Tuned by TOM'S)","0"
"t2a1n","Aristo 3.0V","'91","91"
"t2a3n","Aristo V300","'97","97"
"t2c3n","Celica SS-III","(ST202) '97","97"
"t2c4n","Celica GT-Four","(ST185) '91","91"
"t2can","Caldina GT-T","'97","97"
"t2cdn","XYR","Detroit Show Ver. '99","99"
"t2cen","Celica SS-II","Elegant Ver. '99","99"
"t2cmn","Celica SS-II","Mechanical Ver. '99","99"
"t2con","Celica GT-R","(ST182) '91","91"
"t2crn","Celica GT-Four","RC (ST185) '91","91"
"t2cyn","Celica SS-II","'99","99"
"t2lgn","Lexus GS 400","","0"
"t2lsn","Lexus SC 400","","0"
"t2m2n","MR2 GT-S","'98","98"
"t2mgn","MR2 G-Limited","'98","98"
"t2msn","MR-S","S Edition '99","99"
"t2mtn","MR-S","Motor Show Ver. '97","97"
"t2o3n","Soarer 3.0GT","'96","96"
"t2s3n","Aristo S300","'97","97"
"t2srn","Supra SZ-R","'97","97"
"t2ssn","Supra RZ","'97","97"
"t2vzn","Vitz F","'99","99"
"t2x3n","Chaser TRD","Sports X30","0"
"t2xxn","Celica XX","2800GT '83","83"
"tcegn","Celica GT-Four","(ST205) '95","95"
"tceln","Celica SS-II","(ST202) '95","95"
"tchsn","Chaser Tourer S","'96","96"
"tchvn","Chaser Tourer V","'96","96"
"tmr2n","MR2 GT-S","'96","96"
"tmrln","MR2 G-Limited","'96","96"
"tsgtn","Supra GT","Turbo Limited '93","93"
"tsoan","Soarer 2.5GT-T","VVT-i '96","96"
"tsonn","Supra RZ","'95","95"
"tsoon","Soarer 2.5GT-T","'95","95"
"tsorn","Supra SZ-R","'95","95"
"tspnn","Supra RZ","'96","96"
"tspon","Supra","Twinturbo-R '91","91"
"tsprn","Supra SZ-R","'96","96"
