"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"ga4tn","#C8C8B8","31","Casablanca White","Casablanca White"
"ga4tn","#A0A0A0","34","Aluminium Silver Metallic","Aluminium Silver Metallic"
"ga4tn","#707070","35","Quartz Gray Metallic","Quartz Gray Metallic"
"ga4tn","#181818","36","Brilliant Black with Clear Lacquer","Brilliant Black with Clear Lacquer"
"ga4tn","#483808","37","Mocha Brown Pearl Effect","Mocha Brown Pearl Effect"
"ga4tn","#282828","38","Volcano Black Pearl Effect","Volcano Black Pearl Effect"
"ga4tn","#801000","62","Laser Red","Laser Red"
"ga4tn","#680800","64","Autumn Red Metallic","Autumn Red Metallic"
"ga4tn","#481018","65","Hibiscus Red Pearl Effect","Hibiscus Red Pearl Effect"
"ga4tn","#588850","6C","Paradise Green Metallic","Paradise Green Metallic"
"ga4tn","#003020","6D","Cactus Green Pearl Effect","Cactus Green Pearl Effect"
"ga4tn","#303048","72","Azure Blue Pearl Effect","Azure Blue Pearl Effect"
"ga4tn","#282830","73","Ming Blue Pearl Effect","Ming Blue Pearl Effect"
"ga4tn","#181828","74","Velvet Blue","Velvet Blue"
