"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"hnann","#B8B8B8","31","Delete","Delete"
"hnann","#A8A8A8","32","Delete","Delete"
"hnann","#A8A8A0","33","Delete","Delete"
"hnann","#909090","34","Delete","Delete"
"hnann","#383840","35","Delete","Delete"
"hnann","#202020","36","Delete","Delete"
"hnann","#181820","37","Delete","Delete"
"hnann","#780828","62","Delete","Delete"
"hnann","#780820","64","Delete","Delete"
"hnann","#804800","67","Delete","Delete"
"hnann","#B0A000","68","Delete","Delete"
"hnann","#005040","6C","Delete","Delete"
"hnann","#103868","71","Delete","Delete"
"hnann","#102040","73","Delete","Delete"
"hnann","#181030","75","Delete","Delete"
"hnanr","#303030","36","Delete","Delete"
"hnanr","#202848","71","Delete","Delete"
"hnarn","#B0B0B0","31","Delete","Delete"
"hnarn","#A8A0A0","32","Delete","Delete"
"hnarn","#B0B0A0","33","Delete","Delete"
"hnarn","#908888","34","Delete","Delete"
"hnarn","#403838","35","Delete","Delete"
"hnarn","#302838","36","Delete","Delete"
"hnarn","#201820","37","Delete","Delete"
"hnarn","#780820","64","Delete","Delete"
"hnarn","#301018","65","Delete","Delete"
"hnarn","#B0A000","68","Delete","Delete"
"hnarn","#084838","6C","Delete","Delete"
"hnarn","#082820","6D","Delete","Delete"
"hnarn","#103020","70","Delete","Delete"
"hnarn","#182040","73","Delete","Delete"
"hnarr","#982830","65","Delete","Delete"
"hnarr","#805020","71","Delete","Delete"
"hnasn","#B8B8B8","31","Delete","Delete"
"hnasn","#A8A8B0","32","Delete","Delete"
"hnasn","#A8A8A0","33","Delete","Delete"
"hnasn","#909090","34","Delete","Delete"
"hnasn","#404040","35","Delete","Delete"
"hnasn","#202028","36","Delete","Delete"
"hnasn","#202020","37","Delete","Delete"
"hnasn","#780828","62","Delete","Delete"
"hnasn","#780820","64","Delete","Delete"
"hnasn","#804800","67","Delete","Delete"
"hnasn","#B0A000","68","Delete","Delete"
"hnasn","#004840","6C","Delete","Delete"
"hnasn","#103060","71","Delete","Delete"
"hnasn","#182040","73","Delete","Delete"
"hnasn","#201038","75","Delete","Delete"
"hnasr","#881028","62","Delete","Delete"
"hnasr","#283050","71","Delete","Delete"
