"Car","Price","Colour"
"a2bin","2851","70"
"a2bin","3218","6F"
"a2bin","3339","35"
"an16n","5552","71"
"a2bsn","5596","71"
"a222n","5801","34"
"av16n","6412","6D"
"an16n","6676","62"
"afr7n","7141","73"
"altsn","7485","36"
"adlxn","7720","73"
"ademn","8206","6C"
"adgln","8221","6B"
"adgln","8224","6D"
"a2azn","8233","71"
"amisn","8290","71"
"ademn","8340","6B"
"amisn","8470","65"
"aminn","8605","62"
"amisn","8682","62"
"amisn","8909","6D"
"amisn","9315","72"
"amivn","9372","36"
"afc7n","9938","73"
"ademn","9992","32"
"a2aan","10056","71"
"ademn","10166","65"
"acosn","10672","71"
"ademn","11025","31"
"afo7n","15514","36"
"acosn","17128","36"
"afo7n","17433","34"
"afb7n","18076","36"
"afb7n","19702","34"
"afa7n","22658","62"
"a2rsn","26558","62"
"a2rrn","27360","68"
