"Car","Price","Colour"
"a2bin","3208","71"
"a2bin","3238","36"
"a2bin","3379","35"
"a2bin","3386","31"
"a2bin","3579","34"
"a2bsn","4723","36"
"a2bsn","4871","71"
"an16n","6674","62"
"aminn","7148","74"
"adlxn","7361","62"
"altsn","7429","34"
"aminn","7815","70"
"altsn","7929","36"
"afc7n","8286","36"
"adgln","8513","64"
"aminn","8542","62"
"amisn","8628","6D"
"amisn","9021","36"
"amisn","9275","31"
"a2aan","10028","71"
"acosn","10614","71"
"acosn","14469","34"
"acoen","15162","62"
"afb7n","16345","34"
"a2spn","16411","6D"
"afo7n","18419","68"
"afx7n","18884","36"
"afo7n","19749","31"
"acoen","20123","71"
"acoen","20652","34"
"a2rsn","22086","34"
"afa7n","22715","31"
"acoen","23601","36"
"a2rsn","23681","31"
"a2rzn","29046","36"
