"Car","Price","Colour"
"a2bin","3535","34"
"a2bsn","4722","36"
"a2bsn","5599","31"
"an16n","5913","34"
"av16n","6086","6D"
"av16n","6555","36"
"altsn","6943","62"
"aminn","7398","74"
"adlxn","7652","71"
"aminn","7875","36"
"afr7n","7954","36"
"adlxn","8013","6D"
"ademn","8262","6B"
"aminn","9066","62"
"afc7n","9066","36"
"afc7n","9118","73"
"amisn","9119","73"
"ademn","9619","62"
"a2aan","9867","71"
"amivn","10025","35"
"ademn","10405","35"
"ademn","10864","31"
"a2bgn","11728","62"
"acosn","12513","62"
"acosn","13596","34"
"afo7n","16960","62"
"afo7n","18109","31"
"afb7n","18897","34"
"afo7n","18943","34"
"afx7n","20204","36"
"acoen","22616","34"
