"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"gb3cn","#C8C8B8","31","Alpine White","Alpine White"
"gb3cn","#A8A8A8","34","Arctic Silver Metallic","Arctic Silver Metallic"
"gb3cn","#202020","37","Jet Black","Jet Black"
"gb3cn","#404040","38","Cosmos Black Metallic","Cosmos Black Metallic"
"gb3cn","#900810","62","Light Red","Light Red"
"gb3cn","#000000","65","Calypso Red Metallic","Calypso Red Metallic"
"gb3cn","#380808","66","Cordoba Red Metallic","Cordoba Red Metallic"
"gb3cn","#789078","6C","Morea Green Metallic","Morea Green Metallic"
"gb3cn","#284838","6D","Boston Green Metallic","Boston Green Metallic"
"gb3cn","#183018","6E","Dark Green","Dark Green"
"gb3cn","#606068","72","Samoa Blue Metallic","Samoa Blue Metallic"
"gb3cn","#080838","73","Dark Blue","Dark Blue"
"gb3cn","#100828","74","Montreal Blue Metallic","Montreal Blue Metallic"
