"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"n180n","NISSAN 180SX Type X '95","180SX Type X '95","180SX Type X '95","False","False","False","False"
"n180r","[R]NISSAN 180SX Type X '95","[R]180SX Type X '95","[R]180SX Type X '95","False","False","False","False"
"n18nn","NISSAN 180SX Type X","180SX Type X '96","180SX Type X '96","False","False","False","False"
"n18nr","[R]NISSAN 180SX Type X","[R]180SX Type X '96","[R]180SX Type X '96","False","False","False","False"
"n18sn","NISSAN 180SX Type S","180SX Type S '96","180SX Type S '96","False","False","False","False"
"n18sr","[R]NISSAN 180SX Type S","[R]180SX Type S '96","[R]180SX Type S '96","False","False","False","False"
"n230n","R30 SKYLINE RS-X Turbo","Skyline RS-X Turbo '84","Skyline RS-X Turbo '84","False","False","False","False"
"n230r","[R]R30 SKYLINE RS-X Turbo","[R]Skyline RS-X Turbo '84","[R]Skyline RS-X Turbo '84","False","False","False","False"
"n231n","R31 SKYLINE GTS-R","Skyline GTS-R '87","Skyline GTS-R '87","False","False","False","False"
"n231r","[R]R31 SKYLINE GTS-R","[R]Skyline GTS-R '87","[R]Skyline GTS-R '87","False","False","False","False"
"n234n","R34 SKYLINE 25GT TURBO","Skyline 25GT Turbo '98","Skyline 25GT Turbo '98","False","False","False","False"
"n234r","[R]R34 SKYLINE 25GT TURBO","[R]Skyline 25GT Turbo '98","[R]Skyline 25GT Turbo '98","False","False","False","False"
"n239r","[R]R390 GT1 '97","[R]Nissan R390 GT1 '97","[R]Nissan R390 GT1 '97","False","False","False","False"
"n23nn","R390 GT1 Road Car '97","R390 GT1 Road Car '97","R390 GT1 Road Car '97","False","False","False","False"
"n240r","[R]R390 GT1 '98","[R]Nissan R390 GT1 '98","[R]Nissan R390 GT1 '98","False","False","False","False"
"n24nn","R390 GT1 Road Car '98","R390 GT1 Road Car '98","R390 GT1 Road Car '98","False","False","False","False"
"n24rn","R34 SKYLINE GT-R","Skyline GT-R '99","Skyline GT-R '99","False","False","False","False"
"n24rr","[R]R34 SKYLINE GT-R","[R]Skyline GT-R '99","[R]Skyline GT-R '99","False","False","False","False"
"n24rs","[R]R34 SKYLINE GT-R","[R]Skyline GT-R '99","[R]Skyline GT-R '99","False","False","False","False"
"n24vn","R34 SKYLINE GT-R V spec","Skyline GT-R V spec '99","Skyline GT-R V spec '99","False","False","False","False"
"n24vr","[R]R34 SKYLINE GT-R V spec","[R]Skyline GT-R V spec '99","[R]Skyline GT-R V spec '99","False","False","False","False"
"n24vs","[R]R34 SKYLINE GT-R V spec","[R]Skyline GT-R V spec '99","[R]Skyline GT-R V spec '99","False","False","False","False"
"n24zn","HS30 FAIRLADY 240Z","Fairlady 240ZG '71","Fairlady 240ZG '71","False","False","False","False"
"n24zr","[R]HS30 FAIRLADY 240Z","[R]Fairlady 240ZG '71","[R]Fairlady 240ZG '71","False","False","False","False"
"n271n","KPGC10 SKYLINE GT-R '71","Skyline GT-R '71","Skyline GT-R '71","False","False","False","False"
"n271r","[R]KPGC10 SKYLINE GT-R '71","[R]Skyline GT-R '71","[R]Skyline GT-R '71","False","False","False","False"
"n284n","NISSAN STAGEA RS FOUR V","Stagea 25t RS Four V '98","Stagea 25t RS Four V '98","False","False","False","False"
"n284r","[R]NISSAN STAGEA RS FOUR V","[R]Stagea 25t RS Four V '98","[R]Stagea 25t RS Four V '98","False","False","False","False"
"n2ksn","NISSAN SILVIA K's Aero SE","Silvia K's Aero SE '98","Silvia K's Aero SE '98","False","False","False","False"
"n2ksr","[R]NISSAN SILVIA K's Aero SE","[R]Silvia K's Aero SE '98","[R]Silvia K's Aero SE '98","False","False","False","False"
"n2man","NISSAN MARCH G#","Nissan March G# '97","Nissan March G# '97","False","False","False","False"
"n2mar","[R]NISSAN MARCH G#","[R]Nissan March G# '97","[R]Nissan March G# '97","False","False","False","False"
"n2mtn","NISSAN MARCH SUPER TURBO","March Super Turbo '89","March Super Turbo '89","False","False","False","False"
"n2mtr","[R]NISSAN MARCH SUPER TURBO","[R]March Super Turbo '89","[R]March Super Turbo '89","False","False","False","False"
"n2p1n","NISSAN PULSAR VZ-R N1","Nissan Pulsar VZ-R N1 '97","Nissan Pulsar VZ-R N1 '97","False","False","False","False"
"n2p1r","[R]NISSAN PULSAR VZ-R N1","[R]Nissan Pulsar VZ-R N1 '97","[R]Nissan Pulsar VZ-R N1 '97","False","False","False","False"
"n2p2n","NISSAN PRIMERA 2.0Te-V","Nissan Primera 2.0Te-V '98","Nissan Primera 2.0Te-V '98","False","False","False","False"
"n2p2r","[R]NISSAN PRIMERA 2.0Te-V","[R]Nissan Primera 2.0Te-V '98","[R]Nissan Primera 2.0Te-V '98","False","False","False","False"
"n2pvn","NISSAN PULSAR VZ-R","Nissan Pulsar VZ-R '97","Nissan Pulsar VZ-R '97","False","False","False","False"
"n2pvr","[R]NISSAN PULSAR VZ-R","[R]Nissan Pulsar VZ-R '97","[R]Nissan Pulsar VZ-R '97","False","False","False","False"
"n2pwn","NISSAN PRIMERA Wagon","Primera Wagon 2.0G-V '98","Primera Wagon 2.0G-V '98","False","False","False","False"
"n2pwr","[R]NISSAN PRIMERA Wagon","[R]Primera Wagon 2.0G-V '98","[R]Primera Wagon 2.0G-V '98","False","False","False","False"
"n2r4n","R33 SKYLINE GT-R 4Door","Skyline GT-R Autech Ver. '97","Skyline GT-R Autech Ver. '97","False","False","False","False"
"n2rnn","GT-R Autech Ver. NISMO","Skyline GT-R Autech Ver. Nismo","Skyline GT-R Autech Ver. Nismo","False","False","False","False"
"n2rtn","Z Ver.R 2by2 Twin Turbo","Z Ver.R 2by2 Twin Turbo '98","Z Ver.R 2by2 Twin Turbo '98","False","False","False","False"
"n2rtr","[R]Z Ver.R 2by2 Twin Turbo","[R]Z Ver.R 2by2 Twin Turbo '98","[R]Z Ver.R 2by2 Twin Turbo '98","False","False","False","False"
"n2s4n","NISSAN STAGEA RS FOUR V'97","Nissan Stagea RS Four V '97","Nissan Stagea RS Four V '97","False","False","False","False"
"n2s4r","[R]NISSAN STAGEA RS FOUR V'97","[R]Nissan Stagea RS Four V '97","[R]Nissan Stagea RS Four V '97","False","False","False","False"
"n2stn","Z Ver.S 2seater Twin Turbo","Z Ver.S 2seater Twin Turbo '98","Z Ver.S 2seater Twin Turbo '98","False","False","False","False"
"n2str","[R]Z Ver.S 2seater Twin Turbo","[R]Z Ver.S 2seater Twin Turbo '98","[R]Z Ver.S 2seater Twin Turbo '98","False","False","False","False"
"n2sxn","NISSAN S15 SILVIA Sp.R Aero","Nissan Silvia Spec R Aero '99","Nissan Silvia Spec R Aero '99","False","False","False","False"
"n2sxr","[R]NISSAN S15 SILVIA Sp.R Aero","[R]Nissan Silvia Spec R Aero '99","[R]Nissan Silvia Spec R Aero '99","False","False","False","False"
"n2syn","NISSAN S15 SILVIA Sp.S Aero","Nissan Silvia Spec S Aero '99","Nissan Silvia Spec S Aero '99","False","False","False","False"
"n2syr","[R]NISSAN S15 SILVIA Sp.S Aero","[R]Nissan Silvia Spec S Aero '99","[R]Nissan Silvia Spec S Aero '99","False","False","False","False"
"n2zrn","FAIRLADY Z Ver.R 2by2","Z Ver.R 2by2 '98","Z Ver.R 2by2 '98","False","False","False","False"
"n2zrr","[R]FAIRLADY Z Ver.R 2by2","[R]Z Ver.R 2by2 '98","[R]Z Ver.R 2by2 '98","False","False","False","False"
"n2zsn","FAIRLADY Z Version S 2seater","Z Ver.S 2seater '98","Z Ver.S 2seater '98","False","False","False","False"
"n2zsr","[R]FAIRLADY Z Version S 2seater","[R]Z Ver.S 2seater '98","[R]Z Ver.S 2seater '98","False","False","False","False"
"n432n","R32 SKYLINE GTS4","Skyline GTS4 '91","Skyline GTS4 '91","False","False","False","False"
"n432r","[R]R32 SKYLINE GTS4","[R]Skyline GTS4 '91","[R]Skyline GTS4 '91","False","False","False","False"
"nm32n","R32 SKYLINE GTS25 Type S","Skyline GTS25 Type S '91","Skyline GTS25 Type S '91","False","False","False","False"
"nm32r","[R]R32 SKYLINE GTS25 Type S","[R]Skyline GTS25 Type S '91","[R]Skyline GTS25 Type S '91","False","False","False","False"
"nn32n","R32 SKYLINE GT-R NISMO","Skyline GT-R NISMO '90","Skyline GT-R NISMO '90","False","False","False","False"
"nn32r","[R]R32 SKYLINE GT-R NISMO","[R]Skyline GT-R NISMO '90","[R]Skyline GT-R NISMO '90","False","False","False","False"
"nplon","NISSAN PULSAR GTI-R '91","Nissan Pulsar GTi-R '91","Nissan Pulsar GTi-R '91","False","False","False","False"
"nplor","[R]NISSAN PULSAR GTI-R '91","[R]Nissan Pulsar GTi-R '91","[R]Nissan Pulsar GTi-R '91","False","False","False","False"
"nprin","NISSAN PRIMERA 2.0Te '95","Nissan Primera 2.0Te '95","Nissan Primera 2.0Te '95","False","False","False","False"
"nprir","[R]NISSAN PRIMERA 2.0Te '95","[R]Nissan Primera 2.0Te '95","[R]Nissan Primera 2.0Te '95","False","False","False","False"
"npron","NISSAN PRIMERA 2.0Te '90","Nissan Primera 2.0Te '90","Nissan Primera 2.0Te '90","False","False","False","False"
"npror","[R]NISSAN PRIMERA 2.0Te '90","[R]Nissan Primera 2.0Te '90","[R]Nissan Primera 2.0Te '90","False","False","False","False"
"nq13n","NISSAN S13 SILVIA Q's '88","Nissan Silvia Q's '88","Nissan Silvia Q's '88","False","False","False","False"
"nq13r","[R]NISSAN S13 SILVIA Q's '88","[R]Nissan Silvia Q's '88","[R]Nissan Silvia Q's '88","False","False","False","False"
"nq23n","NISSAN S13 SILVIA Q's '91","Nissan Silvia Q's '91","Nissan Silvia Q's '91","False","False","False","False"
"nq23r","[R]NISSAN S13 SILVIA Q's '91","[R]Nissan Silvia Q's '91","[R]Nissan Silvia Q's '91","False","False","False","False"
