"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"hnsrn","#B0B0B0","31","グランプリホワイト","Grand Prix White"
"hnsrn","#A8A0A0","32","ニュートロンホワイトパール","Neutron White Pearl"
"hnsrn","#B0B0A0","33","チャンピオンシップホワイト","Championship White"
"hnsrn","#908888","34","セブリングシルバーメタリック","Sebring Silver Metallic"
"hnsrn","#403838","35","カイザーシルバーメタリック","Kaiser Silver Metallic"
-------------"hnsrn","#302838","36","クエーサーグレイパール","Quasar Gray Pearl"
"hnsrn","#201820","37","ベルリナブラック","Berlina Black"
"hnsrn","#780820","64","フォーミュラレッド","Formula Red"
-------------"hnsrn","#301018","65","クランベリーレッドパール","Cranberry Red Pearl"
"hnsrn","#B0A000","68","インディイエローパール","Indy Yellow Pearl"
-------------"hnsrn","#084838","6C","エストリルターコイズパール","Estoril Turquoise Pearl"
"hnsrn","#082820","6D","シャーロットグリーンパール","Shallot Green Pearl"
-------------"hnsrn","#103020","70","ベイリーフグリーン","Bay Leaf Green"
-------------"hnsrn","#182040","73","モンテカルロブルーパール","Monte Carlo Blue Pearl"
