"Car","Price","Colour"
"nq13n","2489","62"
"n2mtn","3169","31"
"n2mtn","3192","71"
"nq13n","3450","61"
"npron","3995","36"
"nq23n","4029","6C"
"npron","4211","62"
"nq23n","4222","61"
"nq23n","4349","36"
"npron","4451","71"
"nq23n","4591","35"
"n432n","4919","34"
"nm32n","5566","6D"
"nm32n","6563","36"
"nprin","7006","71"
"nplon","7843","36"
"n432n","8478","35"
"nprin","9008","31"
"nt32n","9130","33"
"n18sn","9661","36"
"nq15n","9706","6D"
"nq14n","9792","34"
"n180n","11244","35"
"n18sn","11374","62"
"n231n","12045","71"
"n180n","12717","36"
"nt33n","12749","62"
"ne14n","12903","70"
"n18nn","13172","31"
"n18nn","13322","34"
"ns14n","13331","36"
"ns14n","13472","71"
"ns14n","13702","62"
"nr02n","14395","36"
"nr02n","14781","35"
"ns15n","15250","31"
"n2ksn","15811","62"
"ne15n","15926","73"
"nzx3n","16103","31"
"ne15n","16221","62"
"nzx3n","16764","77"
"nzxvn","17979","36"
"nzx2n","18901","77"
"nr32n","20753","35"
"n2s4n","21834","71"
"nr32n","22416","6F"
"nn32n","28021","35"
"nv33n","31528","73"
"nv22n","34093","35"
"nv33n","34099","36"
"nv22n","44822","31"
