"Car","Price","Colour"
"nq13n","2321","34"
"n2mtn","3197","31"
"n2mtn","3385","71"
"nq13n","3390","61"
"nq23n","3780","31"
"nq23n","4114","36"
"nq23n","4155","6C"
"nq23n","4421","72"
"nq23n","4718","62"
"nm32n","5610","6F"
"n432n","7584","36"
"n180n","7889","62"
"ns23n","8035","6D"
"ns23n","8311","68"
"nprin","8568","36"
"nm32n","8898","31"
"nt32n","8930","31"
"nt32n","9297","34"
"nq14n","10089","70"
"nprin","10244","35"
"n180n","10622","36"
"n18sn","11319","36"
"n18nn","11597","31"
"ns14n","12934","36"
"n231n","12998","71"
"ns14n","13104","71"
"n18nn","13733","62"
"nzxvn","13930","77"
"ns14n","14276","34"
"ns15n","14496","34"
"ns14n","14752","31"
"ns15n","15228","31"
"n2ksn","15398","34"
"n2ksn","15613","76"
"nzx2n","15999","62"
"n2ksn","16779","62"
"nzx2n","16809","73"
"nzxvn","17357","34"
"nzxvn","17640","6D"
"nzx2n","18201","34"
"nzxsn","18560","73"
"n280n","20776","36"
"nr32n","23580","35"
"nr32n","23799","73"
"n2s4n","26259","6D"
"nv12n","29299","6F"
"nv12n","30612","35"
"nr33n","30961","36"
"n2sgn","31055","31"
"nr33n","31167","77"
"nr34n","31739","77"
"nv22n","32231","36"
"nv12n","32662","34"
"nv34n","33771","34"
"nv33n","33842","73"
"n2r4n","35067","62"
"nr34n","35579","35"
"nv33n","35893","31"
"nv34n","36336","62"
