"Car","Price","Colour"
"nq13n","2494","71"
"nq13n","2553","6C"
"nq13n","2629","62"
"n2mtn","3099","31"
"nq13n","3425","61"
"nq23n","3869","36"
"ns13n","3912","65"
"nq23n","4276","6D"
"ns13n","4470","6C"
"npron","4850","35"
"nm32n","5472","6D"
"nm32n","5621","73"
"n432n","5688","73"
"npron","5906","6C"
"nm32n","6353","34"
"n180n","7936","62"
"nm32n","8113","37"
"nprin","8497","31"
"ns23n","8655","33"
"nprin","8843","36"
"nt32n","8893","35"
"nt32n","8905","6F"
"nt32n","9366","34"
"n230n","10033","34"
"nt33n","10756","62"
"n180n","10794","35"
"nprin","10877","35"
"n18sn","11358","62"
"n18nn","11468","75"
"n18nn","11678","36"
"ns14n","12644","70"
"ns14n","13297","36"
"n231n","13396","71"
"ns14n","14327","34"
"nr02n","14686","34"
"n18nn","14713","34"
"nr02n","15301","36"
"nzx3n","15454","31"
"naxvn","15763","31"
"nzxvn","15823","34"
"n2ksn","15833","31"
"nzxvn","16101","31"
"nzx2n","16943","34"
"nzx3n","17062","34"
"n2ksn","17091","62"
"nax3n","17878","6D"
"n2ksn","18031","73"
"nzxsn","18347","77"
"naxsn","19242","77"
"nzx2n","19407","31"
"nr32n","21611","35"
"n2s4n","22420","71"
"n2s4n","24137","70"
"n2s4n","24297","62"
"n2s4n","24590","31"
"n2r4n","30094","77"
"n2r4n","30429","73"
"nn32n","30467","35"
"nr33n","32812","31"
"nv33n","33496","31"
"nv33n","33700","36"
"nr34n","33950","35"
"nv34n","35033","62"
"nv33n","35586","34"
"nr34n","36576","31"
"nv22n","39681","31"
