"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"ns32n","#C0C0B8","31","クリスタルホワイト","Crystal White"
"ns32n","#A0A0A0","33","ジェットシルバーメタリック","Jet Silver Metallic"
TODO --- "ns32n","#909090","34","スパークシルバーメタリック","Spark Silver Metallic"
TODO --- "ns32n","#484848","35","グレーメタリック","Gray Metallic"
TODO --- "ns32n","#383828","36","ガングレーメタリック","Gun Gray Metallic"
"ns32n","#202020","37","ブラックパールメタリック","Black Pearl Metallic"
"ns32n","#601020","62","レッドパールメタリック","Red Pearl Metallic"
"ns32n","#103028","6D","ダークグリーンメタリック","Dark Green Metallic"
"ns32n","#888890","6F","グレイッシュブルーパール","Grayish Blue Pearl"
"ns32n","#181830","73","ダークブルーパール","Dark Blue Pearl"
"ns32r","#601020","62","",""
"ns32r","#888890","6F","",""
