"0","Active Stability Control"
"1","Sports Brake Kit"
"2","Brake Balance Controller"
"3","Single Plate Clutch"
"4","Twin Plate Clutch"
"5","Triple Plate Clutch"
"6","Computer"
"7","Increased Displacement"
"8","-"
"9","Engine Balancing"
"10","Sports Flywheel"
"11","Semi-Racing Flywheel"
"12","Racing Flywheel"
"13","Close Gearing"
"14","Super Close Gearing"
"15","Gearbox - Customised"
"16","Sports Intercooler"
"17","Racing Intercooler"
"18","Weight Reduction Stg. 1"
"19","Weight Reduction Stg. 2"
"20","Weight Reduction Stg. 3"
"21","1 way LSD"
"22","2 way LSD"
"23","1.5 way LSD"
"24","LSD - Customised"
"25","Yaw Control System"
"26","Sports Muffler"
"27","Semi-Racing Muffler"
"28","Racing Muffler"
"29","NA Tune - Stage 1"
"30","NA Tune - Stage 2"
"31","NA Tune - Stage 3"
"32","Port Grinding"
"33","Carbon Propeller Shaft"
"34","Racing Modifications"
"35","Sports Suspension"
"36","Semi-Racing Suspension"
"37","Suspension - Customised"
"38","Traction Control System"
"39","Sports Tyres"
"40","Racing Hard Tyres"
"41","Racing Medium Tyres"
"42","Racing Soft Tyres"
"43","Racing Super Soft Tyres"
"44","Control Tyres"
"45","Dirt Tyres"
"46","Turbine Kit Stage 1"
"47","Turbine Kit Stage 2"
"48","Turbine Kit Stage 3"
"49","Turbine Kit Stage 4"
