"0","Control activo de estabilidad"
"1","Kit de frenos sport"
"2","Regulador de frenada"
"3","Embrague monodisco"
"4","Embrague de doble disco"
"5","Embrague de tres discos"
"6","Ordenador"
"7","Aumento de la cilindrada"
"8","-"
"9","Equilibrado del motor"
"10","Volante motor sport"
"11","Volante motor deportivo"
"12","Volante motor de competición"
"13","Relación cerrada"
"14","Relación muy cerrada"
"15","Caja de cambios: Personalizado"
"16","Intercooler sport"
"17","Intercooler de competición"
"18","Reducción del peso: Fase 1"
"19","Reducción del peso: Fase 2"
"20","Reducción del peso: Fase 3"
"21","Diferencial autoblocante unidireccional"
"22","Diferencial autoblocante bidireccional"
"23","Diferencial autoblocante neutro"
"24","Diferencial autoblocante: Personalizado"
"25","Sistema de control de dirección"
"26","Silenciador sport"
"27","Silenciador de competición"
"28","Silenciados deportivo"
"29","Puesta a punto de motores aspirados: Fase 1"
"30","Puesta a punto de motores aspirados: Fase 2"
"31","Puesta a punto de motores aspirados: Fase 3"
"32","Rectificado de asientos de válvulas"
"33","Transmisión de carbono"
"34","Modificaciones de vehículos de competición"
"35","Kit de suspensión sport"
"36","Kit de suspensión deportivo"
"37","Suspensión: Personalizado"
"38","Sistema de control de tracción"
"39","Neumáticos sport"
"40","Neumáticos de competición: Duros"
"41","Neumáticos de competición: Medios"
"42","Neumáticos de competición: Blandos"
"43","Neumáticos de competición: Muy blandos"
"44","Neumáticos de control"
"45","Neumáticos de tierra"
"46","Kit de turbo: Fase 1"
"47","Kit de turbo: Fase 2"
"48","Kit de turbo: Fase 3"
"49","Kit de turbo: Fase 4"
