"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"s236n","360 YOUNG SS","360 Young SS '69","360 Young SS '69","False","False","False","False"
"s2a6n","IMPREZA typeRA STi Ver.VI","Impreza typeRA STi Ver.VI '99","Impreza typeRA STi Ver.VI '99","False","False","False","False"
"s2a6r","[R]IMPREZA typeRA STi Ver.VI","[R]Impreza typeRA STi Ver.VI '99","[R]Impreza typeRA STi Ver.VI '99","False","False","False","False"
"s2a6s","[R]IMPREZA typeRA STi Ver.VI","[R]Impreza typeRA STi Ver.VI '99","[R]Impreza typeRA STi Ver.VI '99","False","False","False","False"
"s2cir","[R]CUSCO IMPREZA","[R]Cusco Impreza '99","[R]Cusco Impreza '99","False","False","False","False"
"s2fon","FORESTER S/tb","Forester S/tb '97","Forester S/tb '97","False","False","False","False"
"s2for","[R]FORESTER S/tb","[R]Forester S/tb '97","[R]Forester S/tb '97","False","False","False","False"
"s2i4n","IMPREZA WRX STi Ver.IV '97","Impreza WRX STi Ver.IV '97","Impreza WRX STi Ver.IV '97","False","False","False","False"
"s2i4r","[R]IMPREZA WRX STi Ver.IV '97","[R]Impreza WRX STi Ver.IV '97","[R]Impreza WRX STi Ver.IV '97","False","False","False","False"
"s2i4s","[R]IMPREZA WRX STi Ver.IV '97","[R]Impreza WRX STi Ver.IV '97","[R]Impreza WRX STi Ver.IV '97","False","False","False","False"
"s2i5n","IMPREZA WRX STi Ver.V '98","Impreza WRX STi Ver.V '98","Impreza WRX STi Ver.V '98","False","False","False","False"
"s2i5r","[R]IMPREZA WRX STi Ver.V '98","[R]Impreza WRX STi Ver.V '98","[R]Impreza WRX STi Ver.V '98","False","False","False","False"
"s2i5s","[R]IMPREZA WRX STi Ver.V '98","[R]Impreza WRX STi Ver.V '98","[R]Impreza WRX STi Ver.V '98","False","False","False","False"
"s2i6n","IMPREZA WRX STi Version VI","Impreza WRX STi Ver.VI '99","Impreza WRX STi Ver.VI '99","False","False","False","False"
"s2i6r","[R]IMPREZA WRX STi Version VI","[R]Impreza WRX STi Ver.VI '99","[R]Impreza WRX STi Ver.VI '99","False","False","False","False"
"s2i6s","[R]IMPREZA WRX STi Version VI","[R]Impreza WRX STi Ver.VI '99","[R]Impreza WRX STi Ver.VI '99","False","False","False","False"
"s2irr","[R]IMPREZA '99 RALLY CAR","[R]Impreza Rally Car '99","[R]Impreza Rally Car '99","False","False","False","False"
"s2iwn","IMPREZA WRX '97","Impreza WRX '97","Impreza WRX '97","False","False","False","False"
"s2iwr","[R]IMPREZA WRX '97","[R]Impreza WRX '97","[R]Impreza WRX '97","False","False","False","False"
"s2iws","[R]IMPREZA WRX '97","[R]Impreza WRX '97","[R]Impreza WRX '97","False","False","False","False"
"s2lbn","LEGACY Wagon GT-B Ltd.","Legacy Wagon GT-B Ltd. '97","Legacy Wagon GT-B Ltd. '97","False","False","False","False"
"s2lbr","[R]LEGACY Wagon GT-B Ltd.","[R]Legacy Wagon GT-B Ltd. '97","[R]Legacy Wagon GT-B Ltd. '97","False","False","False","False"
"s2lgn","LEGACY B4 RSK","Legacy B4 RSK '98","Legacy B4 RSK '98","False","False","False","False"
"s2lgr","[R]LEGACY B4 RSK","[R]Legacy B4 RSK '98","[R]Legacy B4 RSK '98","False","False","False","False"
"s2lwn","LEGACY WAGON GT-B","Legacy Wagon GT-B '98","Legacy Wagon GT-B '98","False","False","False","False"
"s2lwr","[R]LEGACY WAGON GT-B","[R]Legacy Wagon GT-B '98","[R]Legacy Wagon GT-B '98","False","False","False","False"
"s2nin","IMPREZA WRX","Impreza WRX '98","Impreza WRX '98","False","False","False","False"
"s2nir","[R]IMPREZA WRX","[R]Impreza WRX '98","[R]Impreza WRX '98","False","False","False","False"
"s2nis","[R]IMPREZA WRX","[R]Impreza WRX '98","[R]Impreza WRX '98","False","False","False","False"
"s2nwn","IMPREZA WAGON WRX","Impreza Wagon WRX '98","Impreza Wagon WRX '98","False","False","False","False"
"s2nwr","[R]IMPREZA WAGON WRX","[R]Impreza Wagon WRX '98","[R]Impreza Wagon WRX '98","False","False","False","False"
"s2nws","[R]IMPREZA WAGON WRX","[R]Impreza Wagon WRX '98","[R]Impreza Wagon WRX '98","False","False","False","False"
"s2pmn","PLEO RM","Pleo RM '98","Pleo RM '98","False","False","False","False"
"s2psn","PLEO RS","Pleo RS '98","Pleo RS '98","False","False","False","False"
"s2r4n","IMPREZA typeR STi Ver.IV '97","Impreza typeR STi Ver.IV '97","Impreza typeR STi Ver.IV '97","False","False","False","False"
"s2r4r","[R]IMPREZA typeR STi Ver.IV '97","[R]Impreza typeR STi Ver.IV '97","[R]Impreza typeR STi Ver.IV '97","False","False","False","False"
"s2r4s","[R]IMPREZA typeR STi Ver.IV '97","[R]Impreza typeR STi Ver.IV '97","[R]Impreza typeR STi Ver.IV '97","False","False","False","False"
"s2r5n","IMPREZA typeR STi Ver.V '98","Impreza typeR STi Ver.V '98","Impreza typeR STi Ver.V '98","False","False","False","False"
"s2r5r","[R]IMPREZA typeR STi Ver.V '98","[R]Impreza typeR STi Ver.V '98","[R]Impreza typeR STi Ver.V '98","False","False","False","False"
"s2r5s","[R]IMPREZA typeR STi Ver.V '98","[R]Impreza typeR STi Ver.V '98","[R]Impreza typeR STi Ver.V '98","False","False","False","False"
"s2r6n","IMPREZA typeR STi Ver.VI '99","Impreza typeR STi Ver.VI '99","Impreza typeR STi Ver.VI '99","False","False","False","False"
"s2r6r","[R]IMPREZA typeR STi Ver.VI '99","[R]Impreza typeR STi Ver.VI '99","[R]Impreza typeR STi Ver.VI '99","False","False","False","False"
