"CarID","NameFirstPart","NameSecondPart","Year"
"s222n","Impreza 22B","STi Ver. '98","98"
"s236n","360 Young SS","'69","69"
"s2a6n","Impreza typeRA","STi Ver.VI '99","99"
"s2cir","Cusco Impreza","'99","99"
"s2fon","Forester S/tb","'97","97"
"s2i4n","Impreza WRX STi","Ver.IV '97","97"
"s2i5n","Impreza WRX STi","Ver.V '98","98"
"s2i6n","Impreza WRX STi","Ver.VI '99","99"
"s2irr","Impreza","Rally Car '99","99"
"s2iwn","Impreza WRX","'97","97"
"s2lbn","Legacy Wagon","GT-B Limited '97","97"
"s2lgn","Legacy B4 RSK","'98","98"
"s2lwn","Legacy Wagon","GT-B '98","98"
"s2nin","Impreza WRX","'98","98"
"s2nwn","Impreza Wagon","WRX '98","98"
"s2pmn","Pleo RM","'98","98"
"s2psn","Pleo RS","'98","98"
"s2r4n","Impreza typeR","STi Ver.IV '97","97"
"s2r5n","Impreza typeR","STi Ver.V '98","98"
"s2r6n","Impreza typeR","STi Ver.VI '99","99"
"s2v4n","Vivio RX-RA","'97","97"
"s2vin","Vivio RX-R","'97","97"
"s2w4n","Impreza Wagon","WRX STi Ver.IV '97","97"
"s2w5n","Impreza Wagon","WRX STi Ver.V '98","98"
"s2w6n","Impreza Wagon","WRX STi Ver.VI '99","99"
"s2wwn","Impreza Wagon","WRX '97","97"
"sipan","Impreza WRX","'96","96"
"sipbn","Impreza WRX STi","Ver.III '96","96"
"sipcn","Impreza Wagon","WRX '96","96"
"sipdn","Impreza Wagon","WRX STi Ver.III '96","96"
"siprn","Impreza typeR","STi '96","96"
"sipsn","Impreza WRX STi","Ver.II '95","95"
"siptn","Impreza Wagon","WRX STi Ver.II '95","95"
"sipwn","Impreza Wagon","WRX '94","94"
"sipxr","Impreza","Rally Car","0"
"sipzn","Impreza WRX","'94","94"
"slgan","Legacy Touring","Wagon GT-B '96","96"
"slgbn","Legacy Touring","Sedan RS '96","96"
"slgnn","Legacy Touring","Sports RS '93","93"
"slgwn","Legacy Touring","Wagon GT '93","93"
"ssv4n","Alcyone SVX S4","'95","95"
"ssvxn","Alcyone SVX","Ver.L '95","95"
