"Car","Price","Colour"
"t271n","2571","31"
"t271n","2743","62"
"t271n","2968","36"
"t271n","3162","34"
"tsgtn","4313","36"
"t261n","4679","62"
"t211n","4948","62"
"tlv1n","5305","62"
"t211n","5715","34"
"t2con","5783","72"
"t211n","5879","37"
"tlvon","6054","62"
"tlv1n","6072","35"
"tlv1n","6178","31"
"tsgtn","6676","32"
"t285n","6734","62"
"ttron","7509","36"
"t285n","7792","31"
"tlevn","8059","65"
"t2c4n","8202","31"
"tstln","9742","36"
"tspon","9774","36"
"tspon","9998","6C"
"texvn","10282","62"
"tspon","11451","62"
"tceln","13013","36"
"tceln","13353","31"
"t2c3n","15147","62"
"t2c3n","15203","34"
"t2spn","15314","36"
"t2spn","15872","72"
"tsorn","15984","71"
"tmrln","16508","68"
"tmrln","16577","34"
"tmr2n","17788","62"
"tsprn","18236","31"
