"Car","Price","Colour"
"t261n","3518","6B"
"t261n","4418","62"
"t2con","4767","65"
"t2con","5137","62"
"tsgtn","5321","35"
"t211n","5384","62"
"tlv1n","5513","62"
"t211n","5640","37"
"tlv1n","5796","35"
"ttr1n","5904","62"
"t211n","6157","71"
"ttron","6348","36"
"t2c4n","6728","35"
"t285n","6986","62"
"tlvon","8192","31"
"tspon","9338","36"
"t2crn","10380","34"
"t2crn","10462","65"
"texvn","11094","62"
"t2crn","11115","62"
"texvn","11196","6C"
"t2crn","11249","35"
"tceln","12537","36"
"tm2vn","12616","6D"
"tceln","13131","31"
"tsorn","13843","62"
"tcegn","14616","36"
"t2c3n","14859","71"
"tsorn","15122","36"
"tsorn","15547","34"
"t2c3n","15748","62"
"t2spn","16317","72"
"tcegn","16392","6B"
"t2spn","16634","31"
"tmr2n","16756","36"
"t2a1n","16895","61"
"tmr2n","16937","72"
"tmr2n","17728","62"
"tcegn","17745","34"
"tmr2n","18226","31"
"tsoon","19697","6D"
"tspnn","26402","71"
"t22hn","120300","31"
