"Car","Price","Colour"
"t271n","3130","69"
"t2con","4706","62"
"t2con","4861","65"
"t2con","5008","35"
"t2con","5382","72"
"ttr1n","5654","62"
"t211n","5871","34"
"tsgtn","6088","71"
"tsgtn","6292","32"
"ttron","6873","36"
"tm2sn","7137","6D"
"tlevn","8176","31"
"ttrnn","8435","31"
"tlevn","9251","34"
"tm2sn","9712","31"
"tspon","10189","71"
"tstln","10291","34"
"tceln","12060","6B"
"tceln","12373","71"
"t2c3n","14735","62"
"tsorn","15348","31"
"tcegn","16564","6B"
"tcegn","16780","34"
"t2spn","17316","34"
"tmr2n","18942","6D"
"tspnn","30069","36"
