"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"bvv2n","#C0C0B8","31","Glacier White Solid","Glacier White Solid"
"bvv2n","#989898","34","Star Silver Metallic","Star Silver Metallic"
"bvv2n","#202020","36","Black Solid","Black Solid"
"bvv2n","#801810","62","Moroccan Red Solid","Moroccan Red Solid"
"bvv2n","#581810","64","Satin Red Pearlescent","Satin Red Pearlescent"
"bvv2n","#183820","67","Velvet Green Pearlescent","Velvet Green Pearlescent"
"bvv2n","#807060","69","Titanium Pearlescent","Titanium Pearlescent"
"bvv2n","#303040","71","Kings Blue Solid","Kings Blue Solid"
"bvv2r","#A04848","62","",""
"bvv2r","#686070","73","",""
