"Car","Price","Colour"
"s2vin","8756","34"
"sipzn","10869","34"
"sipwn","11611","65"
"sipzn","12811","31"
"sipwn","13550","36"
"sipzn","13646","65"
"slgwn","13769","65"
"sipsn","17263","34"
"sipan","18242","65"
"s2iwn","18517","36"
"ssvxn","18761","65"
"sipbn","19672","34"
"slgan","19676","34"
"s2lbn","20665","31"
"ssv4n","21368","62"
"sipbn","21422","70"
"ssv4n","21591","34"
"s2w4n","22679","34"
"s2i4n","22891","36"
"s2w5n","23698","36"
"s2r4n","23750","36"
"s2w5n","23828","62"
"s2r5n","26415","36"
"s2w5n","26465","34"
"s2i5n","27623","35"
