"Car","Price","Colour"
"s2vin","8423","62"
"sipwn","11703","65"
"slgnn","12109","73"
"slgwn","13546","34"
"slgwn","13735","73"
"slgwn","14340","36"
"slgwn","14474","6D"
"ssvxn","16171","31"
"sipsn","17205","31"
"ssvxn","17293","34"
"slgbn","17346","68"
"sipsn","17682","34"
"s2wwn","18330","73"
"s2lbn","19222","31"
"slgan","19376","31"
"slgbn","19442","34"
"sipbn","19743","34"
"ssv4n","19752","34"
"s2wwn","20082","31"
"sipbn","20152","70"
"ssv4n","20618","6C"
"s2lbn","21494","36"
"s2w4n","22218","31"
"slgan","22913","68"
"s2lbn","24230","62"
"s2w5n","24635","31"
"s2i5n","25256","36"
"s2w5n","26597","35"
