"Car","Price","Colour"
"s2vin","8257","62"
"s2vin","8629","34"
"s2v4n","8678","31"
"sipzn","11531","34"
"slgnn","12737","73"
"sipcn","13235","65"
"sipwn","13310","73"
"sipwn","13463","36"
"slgwn","13635","34"
"slgwn","13669","73"
"sipwn","13934","34"
"sipzn","14620","36"
"ssvxn","16807","35"
"sipan","17050","36"
"sipsn","17336","34"
"slgbn","17692","6D"
"sipan","17989","34"
"slgan","18336","6D"
"slgbn","18382","31"
"siptn","18390","34"
"slgbn","18793","65"
"siprn","18956","68"
"slgan","18975","31"
"sipdn","19068","36"
"slgbn","19165","35"
"slgan","19260","73"
"slgan","19438","34"
"sipdn","19835","31"
"sipbn","20172","70"
"ssv4n","21478","34"
"slgan","22607","36"
"s2lbn","23139","68"
"s2lbn","23338","34"
"s2w5n","24741","31"
"s2i5n","26249","31"
"s2r5n","26276","34"
