"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"nax3n","Nissan 300ZX 2-seater","Nissan 300ZX 2-seater","Nissan 300ZX 2-seater","False","False","False","False"
"nax3r","[R]Nissan 300ZX 2-seater","[R]Nissan 300ZX 2-seater","[R]Nissan 300ZX 2-seater","False","False","False","False"
"naxsn","Nissan 300ZX Turbo","Nissan 300ZX Turbo","Nissan 300ZX Turbo","False","False","False","False"
"naxsr","[R]Nissan 300ZX Turbo","[R]Nissan 300ZX Turbo","[R]Nissan 300ZX Turbo","False","False","False","False"
"naxvn","Nissan 300ZX 2+2","Nissan 300ZX 2+2","Nissan 300ZX 2+2 '94","False","False","False","False"
"naxvr","[R]Nissan 300ZX 2+2","[R]Nissan 300ZX 2+2","[R]Nissan 300ZX 2+2 '94","False","False","False","False"
"nzx2n","Z Ver.S 2by2 Twin Turbo '94","Z Ver.S 2by2 Twin Turbo '94","Z Ver.S 2by2 Twin Turbo '94","False","False","False","False"
"nzx2r","[R]Z Ver.S 2by2 Twin Turbo '94","[R]Z Ver.S 2by2 Twin Turbo '94","[R]Z Ver.S 2by2 Twin Turbo '94","False","False","False","False"
"nzx3n","FAIRLADY Z Ver.S 2seater '94","Z Ver.S 2seater '94","Z Ver.S 2seater '94","False","False","False","False"
"nzx3r","[R]FAIRLADY Z Ver.S 2seater '94","[R]Z Ver.S 2seater '94","[R]Z Ver.S 2seater '94","False","False","False","False"
"nzxsn","Z Ver.S 2seater TwinTurbo '94","Z Ver.S 2seater TwinTurbo '94","Z Ver.S 2seater TwinTurbo '94","False","False","False","False"
"nzxsr","[R]Z Ver.S 2seater TwinTurbo '94","[R]Z Ver.S 2seater TwinTurbo '94","[R]Z Ver.S 2seater TwinTurbo '94","False","False","False","False"
"nzxvn","FAIRLADY Z Ver.S 2by2 '94","Z Ver.S 2by2 '94","Z Ver.S 2by2 '94","False","False","False","False"
"nzxvr","[R]FAIRLADY Z Ver.S 2by2 '94","[R]Z Ver.S 2by2 '94","[R]Z Ver.S 2by2 '94","False","False","False","False"
