"Car","Price","Colour"
"nq13n","2478","34"
"nq13n","2592","71"
"nq13n","2788","36"
"nq13n","3291","61"
"nq13n","3334","6D"
"ns13n","3728","61"
"ns13n","3961","36"
"ns13n","4235","71"
"nq23n","4340","6C"
"ns13n","5572","62"
"nm32n","6456","34"
"nm32n","6653","36"
"nplon","6973","35"
"nt32n","7246","33"
"nt32n","7343","73"
"nprin","7462","6C"
"nt32n","7481","37"
"n230n","7608","34"
"nplon","7683","62"
"n432n","7729","35"
"nm32n","7813","37"
"ns23n","8125","6C"
"ns23n","8245","36"
"n432n","8342","31"
"ns23n","8403","62"
"nq14n","8644","36"
"nq14n","8766","70"
"n432n","9222","6F"
"n432n","9524","62"
"nm32n","9589","31"
"n18sn","10366","34"
"n18sn","11177","36"
"n180n","12189","31"
"nt33n","12572","35"
"nzx3n","13779","62"
"ns14n","13783","31"
"nt33n","13784","36"
"nr02n","14161","35"
"ns15n","14759","34"
"ns15n","14815","31"
"nr02n","15530","34"
"nzxvn","15587","6D"
"nr02n","15777","36"
"nzx3n","16170","34"
"ns15n","16309","36"
"nzxvn","16496","31"
"nzxsn","16614","77"
"nzxsn","17483","34"
"nzx2n","17544","36"
"nzx3n","17585","77"
"nzxsn","17588","62"
"nzx2n","17751","34"
"nzxsn","17853","73"
"nzxsn","18133","31"
"nr32n","22141","6F"
"nr32n","22498","35"
"n2s4n","26425","6D"
"nv12n","30265","31"
"nv12n","30747","73"
"n2r4n","32339","34"
"n2r4n","34758","31"
"nv22n","36126","34"
"nv22n","38232","73"
