"Car","Price","Colour"
"_naxvn","15775","77"
"_nax3n","16448","36"
"_nax3n","16695","36"
"_naxvn","16774","62"
"_nax3n","17008","31"
"_naxvn","17151","34"
"_naxsn","17575","77"
"_naxvn","17826","6D"
"_naxvn","18004","34"
"_naxsn","18056","34"
"_naxsn","18200","6D"
"_naxsn","18224","34"
"_naxsn","19599","36"
"_naxsn","20003","31"
"nzxvn","15775","77"
"nzx3n","16448","36"
"nzx3n","16695","36"
"nzxvn","16774","62"
"nzx3n","17008","31"
"nzxvn","17151","34"
"nzxsn","17575","77"
"nzxvn","17826","6D"
"nzxvn","18004","34"
"nzxsn","18056","34"
"nzxsn","18200","6D"
"nzxsn","18224","34"
"nzxsn","19599","36"
"nzxsn","20003","31"
