"Car","Price","Colour"
"t271n","3189","35"
"tsgtn","4218","36"
"t2con","4843","65"
"t211n","5672","31"
"t211n","5852","71"
"ttron","6769","62"
"t285n","6813","34"
"tlvon","7274","31"
"tlevn","8336","31"
"tlevn","9541","34"
"tspon","10442","71"
"tceln","11940","6B"
"t2crn","11993","31"
"tsorn","13118","62"
"tmrln","14154","36"
"tsorn","14893","6D"
"tmrln","14956","31"
"tmrln","15168","72"
"t2c3n","15244","31"
"tmrln","15912","6D"
"t2spn","16049","31"
"tsorn","16318","34"
"tmr2n","16904","36"
"tcegn","16945","34"
"tcegn","17107","6B"
"tsorn","17261","31"
"t2a1n","17761","34"
"tmr2n","18429","68"
"tsoon","21763","31"
"tsonn","22913","34"
"tspnn","26472","71"
"t22gn","113219","79"
"t22gn","119523","62"
