"Menu","ID"
"Menu0","0323"
"Menu1","0318"
"Menu2","031F"
"Menu3","02FC"
"Menu4","02FB"
"Menu5","02F8"
"Menu6","031D"
"Menu7","0327"
"Menu8","0324"
"Menu9","02F9"
"Menu10","02F7"
"Menu11","0322"
"Menu12","0325"
"Menu13","0326"
"Menu14","02FA"
"Menu15","02FD"
"Menu16","02FE"
"Menu17","02FF"
"Menu18","0300"
"Menu19","0301"
"Menu20","0302"
"Menu21","0303"
"Menu22","0304"
"Menu23","0305"
"Menu24","0319"
"Menu25","031B"
"Menu26","031E"
"Menu27","0320"
"Menu28","0321"
"Menu29","031C"
"Menu30","031A"
"Menu31","0307"
"Menu32","0309"
"Menu33","0315"
"Menu34","0316"
"Menu35","0306"
"Menu36","0308"
"Menu37","030C"
"Menu38","030E"
"Menu39","030D"
"Menu40","030F"
"Menu41","0310"
"Menu42","0311"
"Menu43","0312"
"Menu44","0313"
"Menu45","0314"
"Menu46","0317"
"Menu47","030A"
"Menu48","030B"
"Menu49","0000"
