"Menu","ID"
"Menu0","031F"
"Menu1","0314"
"Menu2","031B"
"Menu3","02F8"
"Menu4","02F7"
"Menu5","02F4"
"Menu6","0319"
"Menu7","0323"
"Menu8","0320"
"Menu9","02F5"
"Menu10","02F3"
"Menu11","031E"
"Menu12","0321"
"Menu13","0322"
"Menu14","02F6"
"Menu15","02F9"
"Menu16","02FA"
"Menu17","02FB"
"Menu18","02FC"
"Menu19","02FD"
"Menu20","02FE"
"Menu21","02FF"
"Menu22","0300"
"Menu23","0301"
"Menu24","0315"
"Menu25","0317"
"Menu26","031A"
"Menu27","031C"
"Menu28","031D"
"Menu29","0318"
"Menu30","0316"
"Menu31","0303"
"Menu32","0305"
"Menu33","0311"
"Menu34","0312"
"Menu35","0302"
"Menu36","0304"
"Menu37","0308"
"Menu38","030A"
"Menu39","0309"
"Menu40","030B"
"Menu41","030C"
"Menu42","030D"
"Menu43","030E"
"Menu44","030F"
"Menu45","0310"
"Menu46","0313"
"Menu47","0306"
"Menu48","0307"
"Menu49","0000"
