"Menu","ID"
"Menu0","0325"
"Menu1","031A"
"Menu2","0321"
"Menu3","02FE"
"Menu4","02FD"
"Menu5","02FA"
"Menu6","031F"
"Menu7","0329"
"Menu8","0326"
"Menu9","02FB"
"Menu10","02F9"
"Menu11","0324"
"Menu12","0327"
"Menu13","0328"
"Menu14","02FC"
"Menu15","02FF"
"Menu16","0300"
"Menu17","0301"
"Menu18","0302"
"Menu19","0303"
"Menu20","0304"
"Menu21","0305"
"Menu22","0306"
"Menu23","0307"
"Menu24","031B"
"Menu25","031D"
"Menu26","0320"
"Menu27","0322"
"Menu28","0323"
"Menu29","031E"
"Menu30","031C"
"Menu31","0309"
"Menu32","030B"
"Menu33","0317"
"Menu34","0318"
"Menu35","0308"
"Menu36","030A"
"Menu37","030E"
"Menu38","0310"
"Menu39","030F"
"Menu40","0311"
"Menu41","0312"
"Menu42","0313"
"Menu43","0314"
"Menu44","0315"
"Menu45","0316"
"Menu46","0319"
"Menu47","030C"
"Menu48","030D"
"Menu49","0000"
