"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"bvasn","#C0C0B8","31","Glacier White Solid","Glacier White Solid"
"bvasn","#909090","34","Star Silver Metallic","Star Silver Metallic"
"bvasn","#181818","36","Diamond Black Metallic","Diamond Black Metallic"
"bvasn","#501008","61","Satin Red Pearlescent","Satin Red Pearlescent"
"bvasn","#901010","62","Flame Red Solid","Flame Red Solid"
"bvasn","#103020","67","Carriage Green Solid","Carriage Green Solid"
"bvasn","#306048","6C","Classic Green Metallic","Classic Green Metallic"
"bvasn","#103818","6D","Velvet Green Pearlescent","Velvet Green Pearlescent"
"bvasn","#103038","71","Premium Blue Metallic","Premium Blue Metallic"
"bvasn","#002858","73","Kings Blue Solid","Kings Blue Solid"
"bvasn","#303038","74","Polar Sea Blue Pearlescent","Polar Sea Blue Pearlescent"
"goasn","#C0C0B8","31","Casablancaweiß","Casablancaweiß"
"goasn","#909090","34","Mirage","Mirage"
"goasn","#686868","35","Starsillber","Starsillber"
"goasn","#181818","36","Mitternachtsschwarz","Mitternachtsschwarz"
"goasn","#181818","37","Schwarz","Schwarz"
"goasn","#501008","61","Marseillerot","Marseillerot"
"goasn","#801008","62","Magmarot","Magmarot"
"goasn","#103020","67","Dschungelgrün","Dschungelgrün"
"goasn","#506018","6C","Kiwigrün","Kiwigrün"
"goasn","#104018","6D","Frostgrün","Frostgrün"
"goasn","#586858","71","Klassikgrün","Klassikgrün"
"goasn","#002858","73","Königsblau","Königsblau"
"goasn","#303038","74","Polarmeerblau","Polarmeerblau"
