"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"n231n","R31 SKYLINE GTS-R","Skyline GTS-R (R31) '87","Skyline GTS-R (R31) '87","False","False","False","False"
"n231r","[R]R31 SKYLINE GTS-R","[R]Skyline GTS-R (R31) '87","[R]Skyline GTS-R (R31) '87","False","False","False","False"
"n234n","R34 SKYLINE 25GT TURBO","Skyline 25GT Turbo (R34)","Skyline 25GT Turbo (R34)","False","False","False","False"
"n234r","[R]R34 SKYLINE 25GT TURBO","[R]Skyline 25GT Turbo (R34)","[R]Skyline 25GT Turbo (R34)","False","False","False","False"
"n23nn","R390 GT1 Road Car '97","Nissan R390 GT1 Road Car'97","Nissan R390 GT1 Road Car'97","False","False","False","False"
"n24nn","R390 GT1 Road Car '98","Nissan R390 GT1 Road Car'98","Nissan R390 GT1 Road Car'98","False","False","False","False"
"n24rn","R34 SKYLINE GT-R","Skyline GT-R (R34) '99","Skyline GT-R (R34) '99","False","False","False","False"
"n24rr","[R]R34 SKYLINE GT-R","[R]Skyline GT-R (R34) '99","[R]Skyline GT-R (R34) '99","False","False","False","False"
"n24rs","[R]R34 SKYLINE GT-R","[R]Skyline GT-R (R34) '99","[R]Skyline GT-R (R34) '99","False","False","False","False"
"n24vn","R34 SKYLINE GT-R V spec","Skyline GT-R V spec (R34)","Skyline GT-R V spec (R34)","False","False","False","False"
"n24vr","[R]R34 SKYLINE GT-R V spec","[R]Skyline GT-R V spec (R34)","[R]Skyline GT-R V spec (R34)","False","False","False","False"
"n24vs","[R]R34 SKYLINE GT-R V spec","[R]Skyline GT-R V spec (R34)","[R]Skyline GT-R V spec (R34)","False","False","False","False"
"n271n","KPGC10 SKYLINE GT-R '71","Skyline GT-R (KPGC10) '71","Skyline GT-R (KPGC10) '71","False","False","False","False"
"n271r","[R]KPGC10 SKYLINE GT-R '71","[R]Skyline GT-R (KPGC10) '71","[R]Skyline GT-R (KPGC10) '71","False","False","False","False"
"n280n","Nissan Prince SKYLINE 280","Skyline 280 Type MR","Skyline 280 Type MR","False","False","False","False"
"n280r","[R]Nissan Prince SKYLINE 280","[R]Skyline 280 Type MR","[R]Skyline 280 Type MR","False","False","False","False"
"n284n","NISSAN STAGEA RS FOUR V","Nissan Stagea RS Four V '98","Nissan Stagea RS Four V '98","False","False","False","False"
"n284r","[R]NISSAN STAGEA RS FOUR V","[R]Nissan Stagea RS Four V '98","[R]Nissan Stagea RS Four V '98","False","False","False","False"
"n2dsr","[R]DAISHIN SILVIA GT","[R]Daishin Silvia GT '99","[R]Daishin Silvia GT '99","False","False","False","False"
"n2gur","[R]UNISIA JECS SKYLINE GT","[R]Unisia JECS Skyline GT '99","[R]Unisia JECS Skyline GT '99","False","False","False","False"
"n2gzr","[R]ARTA ZEXEL SKYLINE GT","[R]ARTA Zexel Skyline GT '99","[R]ARTA Zexel Skyline GT '99","False","False","False","False"
"n2ksn","NISSAN SILVIA K's Aero SE","Nissan 240SX K's Aero '98","Nissan 200SX K's Aero '98","False","False","False","False"
"n2ksr","[R]NISSAN SILVIA K's Aero SE","[R]Nissan 240SX K's Aero '98","[R]Nissan 200SX K's Aero '98","False","False","False","False"
"n2mtn","NISSAN MARCH SUPER TURBO","Nissan March Super Turbo '89","Nissan Micra Super Turbo '89","False","False","False","False"
"n2mtr","[R]NISSAN MARCH SUPER TURBO","[R]Nissan March Super Turbo '89","[R]Nissan Micra Super Turbo '89","False","False","False","False"
"n2r4n","R33 SKYLINE GT-R 4Door","Skyline GT-R 4Door (R33) '97","Skyline GT-R 4Door (R33) '97","False","False","False","False"
"n2stn","Z Ver.S 2seater Twin Turbo","300ZX Ver. S 2seater Turbo","Nissan 300ZX Turbo '98","False","False","False","False"
"n2str","[R]Z Ver.S 2seater Twin Turbo","[R]300ZX Ver. S 2seater Turbo","[R]Nissan 300ZX Turbo '98","False","False","False","False"
"n2xsr","[R]XANAVI ARTA SILVIA GT","[R]Xanavi ARTA Silvia GT '99","[R]Xanavi ARTA Silvia GT '99","False","False","False","False"
"n2zrn","FAIRLADY Z Ver.R 2by2","300ZX Ver. R 2by2 '98","Nissan 300ZX 2+2 '98","False","False","False","False"
"n2zrr","[R]FAIRLADY Z Ver.R 2by2","[R]300ZX Ver. R 2by2 '98","[R]Nissan 300ZX 2+2 '98","False","False","False","False"
"n2zsn","FAIRLADY Z Ver.S 2seater","300ZX Ver. S 2seater '98","Nissan 300ZX '98","False","False","False","False"
"n2zsr","[R]FAIRLADY Z Ver.S 2seater","[R]300ZX Ver. S 2seater '98","[R]Nissan 300ZX '98","False","False","False","False"
"n432n","R32 SKYLINE GTS4","Skyline GTS4 (R32) '91","Skyline GTS4 (R32) '91","False","False","False","False"
"n432r","[R]R32 SKYLINE GTS4","[R]Skyline GTS4 (R32) '91","[R]Skyline GTS4 (R32) '91","False","False","False","False"
"nm32n","R32 SKYLINE GTS25 Type S","Skyline GTS25 Type S (R32)","Skyline GTS25 Type S (R32)","False","False","False","False"
"nm32r","[R]R32 SKYLINE GTS25 Type S","[R]Skyline GTS25 Type S (R32)","[R]Skyline GTS25 Type S (R32)","False","False","False","False"
"nn32n","R32 SKYLINE GT-R NISMO","Skyline GT-R NISMO (R32)","Skyline GT-R NISMO (R32)","False","False","False","False"
"nn32r","[R]R32 SKYLINE GT-R NISMO","[R]Skyline GT-R NISMO (R32)","[R]Skyline GT-R NISMO (R32)","False","False","False","False"
"nr02n","R32 SKYLINE GT-R '89","Skyline GT-R (R32) '89","Skyline GT-R (R32) '89","False","False","False","False"
"nr02r","[R]R32 SKYLINE GT-R '89","[R]Skyline GT-R (R32) '89","[R]Skyline GT-R (R32) '89","False","False","False","False"
"nr32n","R32 SKYLINE GT-R '91","Skyline GT-R (R32) '91","Skyline GT-R (R32) '91","False","False","False","False"
"nr32r","[R]R32 SKYLINE GT-R '91","[R]Skyline GT-R (R32) '91","[R]Skyline GT-R (R32) '91","False","False","False","False"
"nr33n","R33 SKYLINE GT-R '95","Skyline GT-R (R33) '95","Skyline GT-R (R33) '95","False","False","False","False"
"nr33r","[R]R33 SKYLINE GT-R '95","[R]Skyline GT-R (R33) '95","[R]Skyline GT-R (R33) '95","False","False","False","False"
"nr34n","R33 SKYLINE GT-R","Skyline GT-R (R33) '97","Skyline GT-R (R33) '97","False","False","False","False"
"nr34r","[R]R33 SKYLINE GT-R","[R]Skyline GT-R (R33) '97","[R]Skyline GT-R (R33) '97","False","False","False","False"
"nt32n","R32 SKYLINE GTS-t Type M","Skyline GTS-t Type M (R32)","Skyline GTS-t Type M (R32)","False","False","False","False"
"nt32r","[R]R32 SKYLINE GTS-t Type M","[R]Skyline GTS-t Type M (R32)","[R]Skyline GTS-t Type M (R32)","False","False","False","False"
"nt33n","R33 SKYLINE GTS25t Type M","Skyline GTS25t Type M (R33)","Skyline GTS25t Type M (R33)","False","False","False","False"
"nt33r","[R]R33 SKYLINE GTS25t Type M","[R]Skyline GTS25t Type M (R33)","[R]Skyline GTS25t Type M (R33)","False","False","False","False"
"nv12n","R32 SKYLINE GT-R V spec","Skyline GT-R V spec (R32)","Skyline GT-R V spec (R32)","False","False","False","False"
"nv12r","[R]R32 SKYLINE GT-R V spec","[R]Skyline GT-R V spec (R32)","[R]Skyline GT-R V spec (R32)","False","False","False","False"
"nv22n","R32 SKYLINE GT-R V spec II","Skyline GT-R V spec II (R32)","Skyline GT-R V spec II (R32)","False","False","False","False"
"nv22r","[R]R32 SKYLINE GT-R V spec II","[R]Skyline GT-R V spec II (R32)","[R]Skyline GT-R V spec II (R32)","False","False","False","False"
"nv33n","R33 SKYLINE GT-R V spec '95","Skyline GT-R V spec (R33) '95","Skyline GT-R V spec (R33) '95","False","False","False","False"
"nv33r","[R]R33 SKYLINE GT-R V spec '95","[R]Skyline GT-R V spec (R33) '95","[R]Skyline GT-R V spec (R33) '95","False","False","False","False"
"nv34n","R33 SKYLINE GT-R V spec","Skyline GT-R V spec (R33) '97","Skyline GT-R '98","False","False","False","False"
"nv34r","[R]R33 SKYLINE GT-R V spec","[R]Skyline GT-R V spec (R33) '97","[R]Skyline GT-R '98","False","False","False","False"
