"CarID","NameFirstPart","NameSecondPart","Year"
"n231n","Skyline","GTS-R (R31,J) '87","87"
"n234n","Skyline","25GT Turbo (R34,J) '98","98"
"n24rn","Skyline","GT-R (R34,J) '99","99"
"n24vn","Skyline","GT-R V spec (R34,J) '99","99"
"n271n","Skyline","GT-R (KPGC10,J) '71","71"
"n2dsr","Daishin Silvia","GT(J) '99","99"
"n2gzr","ARTA GT-R","GT(J) '99","99"
"n2r4n","Skyline","GT-R 4Door (R33,J) '97","97"
"n2xsr","Xanavi Silvia","GT(J) '99","99"
"n432n","Skyline","GTS4 (R32,J) '91","91"
"ne14n","200SX","'95","95"
"ne15n","200SX","'98","98"
"nl33n","Nismo GT-R LM","Road Car (R33,J)","0"
"nm32n","Skyline","GTS25 Type S (R32,J) '91","91"
"nn32n","Skyline","GT-R NISMO (R32,J) '90","90"
"nr02n","Skyline","GT-R (R32,J) '89","89"
"nr32n","Skyline","GT-R (R32,J) '91","91"
"nr33n","Skyline","GT-R (R33,J) '95","95"
"nr34n","Skyline","GT-R (R33,J) '97","97"
"nt32n","Skyline","GTS-t Type M (R32,J) '91","91"
"nt33n","Skyline","GTS25t Type M (R33,J) '96","96"
"nv12n","Skyline","GT-R V spec (R32,J) '93","93"
"nv22n","Skyline","GT-R V spec II (R32,J) '94","94"
"nv33n","Skyline","GT-R V spec (R33,J) '95","95"
"nzx3n","300ZX","2-seater '95","95"
"nzxsn","300ZX","Turbo '95","95"
"nzxvn","300ZX","2+2 '95","95"
