"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"nq23n","#B8B8B8","31","パールホワイト","Pearl White"
"nq23n","#909078","33","イエロイッシュシルバーツートン","Yellowish Silver Two-Tone"
"nq23n","#282830","35","ダークグレー","Dark Gray"
"nq23n","#202020","36","スーパーブラック","Super Black"
"nq23n","#B8A890","61","ウォームホワイトツートン","Warm White Two-Tone"
"nq23n","#901818","62","スーパーレッド","Super Red"
"nq23n","#909060","68","シトラスイエローツートン","Citrus Yellow Two-Tone"
"nq23n","#608868","6C","ライムグリーンツートン","Lime Green Two-Tone"
"nq23n","#183828","6D","ダークグリーン","Dark Green"
"nq23n","#102040","71","ベルベットブルー","Velvet Blue"
"nq23n","#888090","72","パープリッシュシルバーツートン","Purplish Silver Two-Tone"
"ns23n","#C0C0C0","31","パールホワイト","Pearl White"
"ns23n","#A0A080","33","イエロイッシュシルバーツートン","Yellowish Silver Two-Tone"
"ns23n","#303030","35","ダークグレー","Dark Gray"
"ns23n","#202020","36","スーパーブラック","Super Black"
"ns23n","#C0B8A0","61","ウォームホワイトツートン","Warm White Two-Tone"
"ns23n","#981818","62","スーパーレッド","Super Red"
"ns23n","#A0A068","68","シトラスイエローツートン","Citrus Yellow Two-Tone"
"ns23n","#689070","6C","ライムグリーンツートン","Lime Green Two-Tone"
"ns23n","#183828","6D","ダークグリーン","Dark Green"
"ns23n","#182040","71","ベルベットブルー","Velvet Blue"
"ns23n","#9888A0","72","パープリッシュシルバーツートン","Purplish Silver Two-Tone"
