"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"t2srn","SUPRA SZ-R","Toyota Supra SZ-R '98","Toyota Supra SZ-R '98","False","False","False","False"
"t2srr","[R]SUPRA SZ-R","[R]Toyota Supra SZ-R '98","[R]Toyota Supra SZ-R '98","False","False","False","False"
"t2ssn","SUPRA RZ","Toyota Supra RZ '98","Toyota Supra RZ '98","False","False","False","False"
"t2ssr","[R]SUPRA RZ","[R]Toyota Supra RZ '98","[R]Toyota Supra RZ '98","False","False","False","False"
"tsonn","SUPRA RZ '95","Toyota Supra (Turbo) '95","Toyota Supra (Turbo) '95","False","False","False","False"
"tsonr","[R]SUPRA RZ '95","[R]Toyota Supra (Turbo) '95","[R]Toyota Supra (Turbo) '95","False","False","False","False"
"tsorn","SUPRA SZ-R '95","Toyota Supra '95","Toyota Supra '95","False","False","False","False"
"tsorr","[R]SUPRA SZ-R '95","[R]Toyota Supra '95","[R]Toyota Supra '95","False","False","False","False"
"tspnn","SUPRA RZ '96","Toyota Supra (Turbo) '96","Toyota Supra (Turbo) '96","False","False","False","False"
"tspnr","[R]SUPRA RZ '96","[R]Toyota Supra (Turbo) '96","[R]Toyota Supra (Turbo) '96","False","False","False","False"
"tsprn","SUPRA SZ-R '96","Toyota Supra '96","Toyota Supra '96","False","False","False","False"
"tsprr","[R]SUPRA SZ-R '96","[R]Toyota Supra '96","[R]Toyota Supra '96","False","False","False","False"
