"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"bvven","#C0C0B8","31","Glacier White Solid","Glacier White Solid"
"bvven","#989898","34","Star Silver Metallic","Star Silver Metallic"
"bvven","#202020","36","Black Solid","Black Solid"
"bvven","#782810","61","Kodiak Metallic","Kodiak Metallic"
"bvven","#801810","62","Moroccan Red Solid","Moroccan Red Solid"
"bvven","#581810","64","Satin Red Pearlescent","Satin Red Pearlescent"
"bvven","#183820","67","Velvet Green Pearlescent","Velvet Green Pearlescent"
"bvven","#807060","69","Titanium Pearlescent","Titanium Pearlescent"
"bvven","#306048","6D","Classic Green Metallic","Classic Green Metallic"
"bvven","#383840","71","Kings Blue Solid","Kings Blue Solid"
"bvven","#083060","73","Polar Sea Blue Pearlescent","Polar Sea Blue Pearlescent"
