"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"czron","#C0C0B8","31","Arctic White","Arctic White"
"czron","#202020","36","Black","Black"
"czron","#881018","62","Bright Red","Bright Red"
"czron","#581808","65","Dark Red Metallic","Dark Red Metallic"
"czron","#C0A008","68","Competition Yellow","Competition Yellow"
"czron","#184020","6D","Polo Green Metallic","Polo Green Metallic"
"czron","#085850","70","Turquoise Metallic","Turquoise Metallic"
"czron","#282888","71","Quasar Blue Metallic","Quasar Blue Metallic"
"czror","#706098","31","",""
"czror","#804878","62","",""
