"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"gov2n","#C0C0B8","31","Casablancaweiß","Casablancaweiß"
"gov2n","#989898","34","Starsillber","Starsillber"
"gov2n","#202020","36","Schwarz","Schwarz"
"gov2n","#981818","62","Tizianrot","Tizianrot"
"gov2n","#581818","64","Marseillerot","Marseillerot"
"gov2n","#184028","67","Dschungelgrün","Dschungelgrün"
"gov2n","#807860","69","Titaniumsilber","Titaniumsilber"
"gov2n","#383840","71","Königsblau","Königsblau"
"gov2r","#A85850","62","",""
"gov2r","#687068","67","",""
