"CarID","NameFirstPart","NameSecondPart","Year"
"a-a7r","RX-7 A-spec LM","Edition","0"
"a-emn","Demio A-spec","'97","97"
"a222n","Savanna RX-7","GT-Turbo '83","83"
#"a26sn","Roadster 1.6 S","Package '98","98"
"a28bn","RX-7 Type RB","'98","98"
"a28rn","RX-7 Type R","'98","98"
"a28sn","RX-7 Type RS","'98","98"
"a2aan","AZ-1 A-spec","'91","91"
"a2abn","Roadster B-spec","","0"
"a2azn","AZ-1","'91","91"
"a2bgn","Familia GT-R","'92","92"
"a2bin","Familia","Interplay '89","89"
"a2bsn","Familia GT-X","'92","92"
"a2gcn","RX-7 GT-C","'99","99"
"a2gln","Demio GL-X","'99","99"
"a2gsn","Demio GL-X","Special '98","98"
"a2l7r","RX-7 GT-C LM","Edition","0"
"a2mkr","RE Amemiya RX-7","'99","99"
"a2ran","Roadster A-spec","","0"
"a2rbn","RX-7 Type RB","'97","97"
"a2rcn","Roadster C-spec","","0"
"a2rrn","RX-7 RS-R","'97","97"
"a2rsn","RX-7 Type RS","'97","97"
"a2rzn","RX-7 Type RZ","'97","97"
"a2spn","Savanna RX-7","Cabriolet '90","90"
#"a2swn","Familia","S-Wagon '99","99"
"a2vsn","Roadster 1.8 VS","'98","98"
"acoen","Cosmo Type-E","'94","94"
"acosn","Cosmo Type-S","'94","94"
"ademn","Demio GL-X","'97","97"
"adgln","Demio GL","'97","97"
"adlxn","Demio LX G","Package '97","97"
"afa7n","RX-7 A-spec","'96","96"
"afb7n","efini RX-7","Type RB '96","96"
"afc7n","Savanna RX-7","infini III '90","90"
"afd7n","efini RX-7","Type RZ '96","96"
"afn7r","RX-7 LM","Edition","0"
"afo7n","efini RX-7","Type R '91","91"
"afr7n","Savanna RX-7","GT-X '90","90"
"afx7n","efini RX-7","Touring X '96","96"
"altsn","Lantis Coupe","Type-R '93","93"
"aminn","Eunos Roadster","'93","93"
"amisn","Eunos Roadster","S-Special '93","93"
"amivn","Eunos Roadster","V-Special '93","93"
"an16n","Eunos Roadster","'89","89"
#"arodn","Roadster 1.8 RS","'98","98"
"as16n","Eunos Roadster","S-Special '92","92"
"av16n","Eunos Roadster","V-Special '90","90"
"bistn","Storm V12","","0"
"bj15n","XJR","","0"
"bj22n","XJ220","","0"
"bjjrr","XJR15","","0"
"bjk8n","XK8 Coupe","","0"
"bjkrn","XKR Coupe","","0"
"bjxjn","XJ Sport","3.2","0"
"bmmgn","MGF","1.8i VVC","0"
"brm1r","Mini Cooper","1275S Mark I","0"
"brmcn","Mini Cooper","1.3i","0"
"brmin","Mini","1.3","0"
"bu41n","BTR Type I","","0"
"bu42n","BTR Type II","","0"
"bub2n","BTR2","","0"
"buc1n","CTR","Yellow Bird","0"
"buc9n","CTR2","","0"
"bucrn","CTR2 Sport","","0"
"buctn","RCT","","0"
"buthn","Turbo-R","","0"
"bvasn","Astra SRi","2.0i 16V","0"
"bvcdr","Calibra","Touring Car '95","95"
"bvcon","Corsa Sport","1.6i 16V","0"
"bviir","Tigra Chamonix","Ice Race Car '98","98"
"bvtin","Tigra","1.6i","0"
"bvven","Vectra GSi","2.5 V6","0"
"c-30n","Camaro Z28","30th Anniversary '96","96"
"c427n","Corvette"," 427 Stingray '69","69"
"cc67n","Corvette","Sting Ray '67","67"
"cc69n","Camaro Z28","'69","69"
"cc82n","Corvette","'82","82"
"ccamn","Camaro Z28","Coupe '97","97"
"ccrcn","Corvette","Coupe '96","96"
"ccrvn","Corvette","Grand Sport '96","96"
"ccssn","Camaro SS","'97","97"
"czr1n","Corvette ZR-1","'95","95"
"d-pgr","Viper GTS-R","","0"
"d-phr","Copperhead LM","Edition","0"
"d2tvr","Taisan Viper","'99","99"
"dcaen","Avenger ES","","0"
"dcc1n","Charger","'71","71"
"dcchn","Challenger","'72","72"
"dcien","Intrepid ES","","0"
"dcnan","Neon ACR","","0"
"dcnrn","Neon R/T","","0"
"dcphn","Copperhead","","0"
"dcptn","Phaeton","","0"
"dcsen","Stratus ES","","0"
"dvp8r","Viper GTS-R","Team Oreca '99","99"
"dvpgn","Viper GTS","","0"
"dvprn","Viper RT/10","","0"
"efcon","Cougar","2.5i 24V","0"
"efe2n","RS200","'86","86"
"efesr","Escort","Rally Car","0"
"effgn","Focus Ghia","2.0i Zetec","0"
"effwr","Focus Rally Car","'99","99"
"effzn","Focus","1.8i Zetec","0"
"efkan","Ka","","0"
"efmon","Mondeo Ghia X","2.5i 24V","0"
"efpun","Puma","1.7i Zetec-SE VCT","0"
"fcr8r","Xsara Rally Car","","0"
"fcs6n","Saxo VTS","1.6i","0"
"fcx3n","Xantia","3.0i V6 Exclusive","0"
"fcx8n","Xsara","1.8i 16V Exclusive","0"
"fp1rn","106 Rallye","","0"
"fp1sn","106 S16","","0"
#"fp26n","206 S16","","0"
"fp27n","206 S16","","0"
"fp2wr","206 Rally Car","'99","99"
"fp2xr","206 Rally Car","'99","99"
"fp36n","306 S16","","0"
"fp46n","406 V6 Coupe","","0"
"fp4tn","406 V6","","0"
"fp4un","406 V6","","0"
"frc2n","Clio 16V","","0"
"frcsn","Clio Sport V6","24V","0"
"frf1n","Espace F1","","0"
"frl6n","Laguna V6","","0"
"frmgn","Megane","2.0 16V Coupe","0"
"fv30n","Atlantique 300","Bi-Turbo","0"
"fv4gn","400GT","","0"
"fv60r","600 LM","'95","95"
"gaa3n","A3","","0"
"gaa4n","A4","2.8 quattro","0"
"gas3n","S3","","0"
"gas4n","S4","","0"
"gatlr","TT LM Edition","","0"
"gattn","TT","1.8T quattro","0"
"gb0cn","320Ci","","0"
"gb28n","328i","","0"
"gb2cn","323ti Compact","","0"
"gb52n","528i","","0"
"gb74n","740i","","0"
"gb84n","840Ci","","0"
"gbc3n","323Ci","","0"
"gbc8n","328Ci","","0"
"gm16n","A160","Avantgarde","0"
"gm20n","CLK 200","Sport","0"
"gm32n","CLK 320","Sport","0"
"gmc4n","AMG C 43","","0"
"gmd2r","CLK Race Car","","0"
"gme5n","AMG E 55","","0"
"gmsln","SLK 230","Kompressor","0"
"goasn","Astra SRi","2.0i 16V","0"
"gocdr","Calibra","Touring Car '95","95"
"gocon","Corsa Sport","1.6i 16V","0"
"goiir","Tigra Chamonix","Ice Race Car '98","98"
"gotin","Tigra","1.6i","0"
"goven","Vectra GSi","2.5 V6","0"
"gv45n","Golf V5","","0"
"gv46n","Golf V6","","0"
"gv48n","Golf GTI 1.8T","","0"
"gv4gn","Golf GTI","","0"
"gvbgr","New Beetle GT","","0"
"gvlun","Lupo","1.4","0"
"gvnbn","New Beetle GLS","2.0","0"
"gvp6n","Polo","1.4 16V","0"
"h-err","CR-X del Sol LM","Edition","0"
"h28cn","Accord SiR-T","'98","98"
"h28wn","Accord Wagon","SiR '98","98"
"h2a0n","NSX","(Acura) '91","91"
"h2a2n","NSX","(Acura) '97","97"
"h2acn","Accord SiR-T","'97","97"
"h2ain","Integra GS-R","(Acura) '98","98"
"h2arn","Accord Type R","","0"
"h2awn","Accord Wagon","2300VTL '97","97"
"h2ben","Beat","'91","91"
"h2bfn","Beat ver.F","'92","92"
"h2bzn","Beat ver.Z","'94","94"
#"h2cfn","Civic Ferio Si","(EK) '98","98"
"h2cnr","Mugen NSX","'98","98"
"h2crn","Civic Type R","(EK) '98","98"
#"h2csn","Civic SiR","(EK) '98","98"
"h2ign","Integra SiR-G","'98","98"
"h2irn","Integra Type R","'98","98"
"h2l2r","S2000 GT1","","0"
"h2l8n","Life T","'98","98"
"h2lin","Life T","'97","97"
"h2lon","Logo TS","'98","98"
"h2m2n","Mugen CR-X"," Pro.2","0"
"h2man","Mugen Accord","SiR-T","0"
"h2mbn","Mugen Beat","","0"
"h2mcn","Mugen Civic","Type R","0"
"h2mdn","Mugen CR-X"," Pro.3","0"
"h2mfn","Mugen Civic","Ferio","0"
"h2min","Mugen Integra","Type R","0"
"h2mpn","Mugen Prelude","Type S","0"
"h2mwn","Mugen Accord","Wagon","0"
"h2n1r","Mobil 1 NSX","'99","99"
"h2ncr","Mugen NSX","'99","99"
"h2nrr","Raybrig NSX","'99","99"
"h2ntr","Takata NSX","'99","99"
#"h2prn","Prelude SiR","'98","98"
#"h2psn","Prelude SiR S","spec '98","98"
"h2s2n","S2000","'99","99"
"h2scn","Spoon Civic","Type R","0"
"h2sin","Spoon Integra","Type R","0"
"h2ssn","Spoon S2000","","0"
