"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"h2a0n","ACURA NSX 3.0-L","Acura NSX '91","Acura NSX '91","False","False","False","False"
"h2a0r","[R]ACURA NSX 3.0-L","[R]Acura NSX '91","[R]Acura NSX '91","False","False","False","False"
"h2a2n","ACURA NSX 3.2-L","Acura NSX '97","Acura NSX '97","False","False","False","False"
"h2a2r","[R]ACURA NSX 3.2-L","[R]Acura NSX '97","[R]Acura NSX '97","False","False","False","False"
"h2ain","ACURA INTEGRA GS-R","Acura Integra GS-R","Acura Integra GS-R","False","False","False","False"
"h2air","[R]ACURA INTEGRA GS-R","[R]Acura Integra GS-R","[R]Acura Integra GS-R","False","False","False","False"
"h2ign","HONDA INTEGRA SiR-G","Honda Integra SiR-G '98","Honda Integra SiR-G '98","False","False","False","False"
"h2igr","[R]HONDA INTEGRA SiR-G","[R]Honda Integra SiR-G '98","[R]Honda Integra SiR-G '98","False","False","False","False"
"h2irn","HONDA INTEGRA Type R '98","Honda Integra Type-R","Honda Integra Type-R","False","False","False","False"
"h2irr","[R]HONDA INTEGRA Type R '98","[R]Honda Integra Type-R","[R]Honda Integra Type-R","False","False","False","False"
"hairn","ACURA INTEGRA Type R","Acura Integra Type R","Acura Integra Type R","False","False","False","False"
"hairr","[R]ACURA INTEGRA Type R","[R]Acura Integra Type R","[R]Acura Integra Type R","False","False","False","False"
"hiarn","ACURA INTEGRA Type R","Acura Integra Type-R '95","Acura Integra Type-R '95","False","False","False","False"
"hiarr","[R]ACURA INTEGRA Type R","[R]Acura Integra Type-R '95","[R]Acura Integra Type-R '95","False","False","False","False"
"hiasn","ACURA INTEGRA GS-R","Acura Integra GS-R '95","Acura Integra GS-R '95","False","False","False","False"
"hiasr","[R]ACURA INTEGRA GS-R","[R]Acura Integra GS-R '95","[R]Acura Integra GS-R '95","False","False","False","False"
"hinrn","INTEGRA Type R","Integra Type R '95","Integra Type R '95","False","False","False","False"
"hinrr","[R]INTEGRA Type R","[R]Integra Type R '95","[R]Integra Type R '95","False","False","False","False"
"hinsn","HONDA INTEGRA SiR-G","Honda Integra SiR-G '95","Honda Integra SiR-G '95","False","False","False","False"
"hinsr","[R]HONDA INTEGRA SiR-G","[R]Honda Integra SiR-G '95","[R]Honda Integra SiR-G '95","False","False","False","False"
"hnann","ACURA NSX Type S Zero (J)","Acura NSX Type S Zero","Acura NSX Type S Zero","False","False","False","False"
"hnanr","[R]ACURA NSX Type S Zero (J)","[R]Acura NSX Type S Zero","[R]Acura NSX Type S Zero","False","False","False","False"
"hnarn","ACURA NSX Type R '92 (J)","Acura NSX '93","Acura NSX '93","False","False","False","False"
"hnarr","[R]ACURA NSX Type R '92 (J)","[R]Acura NSX '93","[R]Acura NSX '93","False","False","False","False"
"hnasn","ACURA NSX Type S (J)","Acura NSX Type S","Acura NSX Type S","False","False","False","False"
"hnasr","[R]ACURA NSX Type S (J)","[R]Acura NSX Type S","[R]Acura NSX Type S","False","False","False","False"
"hnsbn","NSX","NSX","NSX","False","False","False","False"
"hnsbr","[R]NSX","[R]NSX","[R]NSX","False","False","False","False"
"hnsnn","NSX Type S Zero","NSX Type S Zero","NSX Type S Zero","False","False","False","False"
"hnsnr","[R]NSX Type S Zero","[R]NSX Type S Zero","[R]NSX Type S Zero","False","False","False","False"
"hnsrn","NSX Type R '92","NSX Type R '92","NSX Type R '92","False","False","False","False"
"hnsrr","[R]NSX Type R '92","[R]NSX Type R '92","[R]NSX Type R '92","False","False","False","False"
"hnssn","NSX Type S","NSX Type S","NSX Type S","False","False","False","False"
"hnssr","[R]NSX Type S","[R]NSX Type S","[R]NSX Type S","False","False","False","False"
"hnsxn","NSX '90","NSX '90","NSX '90","False","False","False","False"
"hnsxr","[R]NSX '90","[R]NSX '90","[R]NSX '90","False","False","False","False"
