"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"ia5qn","#B8B8B8","31","Bianco","Bianco"
"ia5qn","#909090","33","Grigio Chiaro Metallizzato","Grigio Chiaro Metallizzato"
"ia5qn","#484848","34","Grigio Medio Metallizzato","Grigio Medio Metallizzato"
"ia5qn","#304040","35","Canna Di Fucile Metallizzato","Canna Di Fucile Metallizzato"
"ia5qn","#181818","36","Nero","Nero"
"ia5qn","#880810","62","Rosso Alfa","Rosso Alfa"
"ia5qn","#182018","6D","Verde Mirto Metallizzato","Verde Mirto Metallizzato"
"ia5qn","#081830","6E","Blu Lord","Blu Lord"
"ia5qn","#282838","71","Blu Spazio Metallizzato","Blu Spazio Metallizzato"
"ia5qn","#601020","75","Bordeaux Metaallizzato","Bordeaux Metaallizzato"
"ia5qr","#900810","62","",""
