"Car","Price","Colour"
"a2bin","3220","36"
"a2bin","3339","31"
"a222n","6100","68"
"av16n","6151","6D"
"altsn","7067","73"
"altsn","7080","34"
"adlxn","7684","64"
"afr7n","7935","73"
"afr7n","8186","31"
"amivn","8220","32"
"ademn","8950","6C"
"ademn","9051","6B"
"amisn","9118","31"
"afc7n","9550","62"
"amivn","9793","36"
"amivn","10166","6C"
"ademn","10338","31"
"a2aan","11169","71"
"a2bgn","12398","31"
"a2spn","12463","73"
"a2spn","13507","62"
"a2spn","16136","6D"
"afo7n","17667","34"
"afb7n","18952","36"
"a2rsn","24261","31"
"a2rzn","28692","36"
