"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"bvasn","Vauxhall Astra SRi 2.0i 16V","Vauxhall Astra SRi 2.0i 16V","Vauxhall Astra SRi 2.0i 16V","False","False","False","False"
"bvasr","[R]Vauxhall Astra SRi 2.0i 16V","[R]Vauxhall Astra SRi 2.0i 16V","[R]Vauxhall Astra SRi 2.0i 16V","False","False","False","False"
"bvcdr","[R]Vauxhall Calibra Touring car","[R]Vauxhall Calibra Touring car","[R]Vauxhall Calibra Touring car","False","False","False","False"
"bvcon","Vauxhall Corsa Sport 1.6i 16V","Vauxhall Corsa Sport 1.6i 16V","Vauxhall Corsa Sport 1.6i 16V","False","False","False","False"
"bviir","[R]Vauxhall Tigra Ice Race Car","[R]Vauxhall Tigra Ice Race Car","[R]Vauxhall Tigra Ice Race Car","False","False","False","False"
"bvtin","Vauxhall Tigra 1.6i","Vauxhall Tigra 1.6i","Vauxhall Tigra 1.6i","False","False","False","False"
"bvtir","[R]Vauxhall Tigra 1.6i","[R]Vauxhall Tigra 1.6i","[R]Vauxhall Tigra 1.6i","False","False","False","False"
"bvven","Vauxhall Vectra GSi 2.5 V6","Vauxhall Vectra GSi 2.5 V6","Vauxhall Vectra GSi 2.5 V6","False","False","False","False"
"bvver","[R]Vauxhall Vectra GSi 2.5 V6","[R]Vauxhall Vectra GSi 2.5 V6","[R]Vauxhall Vectra GSi 2.5 V6","False","False","False","False"
"goasn","Opel Astra SRi 2.0i 16V","Opel Astra SRi 2.0i 16V","Opel Astra SRi 2.0i 16V","False","False","False","False"
"goasr","[R]Opel Astra SRi 2.0i 16V","[R]Opel Astra SRi 2.0i 16V","[R]Opel Astra SRi 2.0i 16V","False","False","False","False"
"gocdr","[R]Opel Calibra Touring car","[R]Opel Calibra Touring Car","[R]Opel Calibra Touring Car","False","False","False","False"
"gocon","Opel Corsa Sport 1.6i 16V","Opel Corsa Sport 1.6i 16V","Opel Corsa Sport 1.6i 16V","False","False","False","False"
"goiir","[R]Opel Tigra Ice Race Car","[R]Opel Tigra Ice Race Car","[R]Opel Tigra Ice Race Car","False","False","False","False"
"gotin","Opel Tigra 1.6i","Opel Tigra 1.6i","Opel Tigra 1.6i","False","False","False","False"
"gotir","[R]Opel Tigra 1.6i","[R]Opel Tigra 1.6i","[R]Opel Tigra 1.6i","False","False","False","False"
"goven","Opel Vectra GSi 2.5 V6","Opel Vectra GSi 2.5 V6","Opel Vectra GSi 2.5 V6","False","False","False","False"
"gover","[R]Opel Vectra GSi 2.5 V6","[R]Opel Vectra GSi 2.5 V6","[R]Opel Vectra GSi 2.5 V6","False","False","False","False"
