"Car","Price","Colour"
"nq13n","2459","71"
"nq13n","2480","65"
"nq13n","2661","62"
"nq13n","3380","61"
"n2mtn","3428","6E"
"npron","4506","36"
"nq23n","4643","35"
"ns13n","5239","6D"
"ns13n","5334","62"
"nm32n","5419","73"
"nm32n","5444","6D"
"npron","6241","6C"
"ns23n","7036","72"
"ns23n","7127","31"
"nplon","7185","62"
"nt32n","7358","73"
"n432n","8156","36"
"n432n","8203","35"
"nt32n","8218","37"
"ns23n","8343","33"
"ns23n","8368","62"
"nprin","8406","36"
"nq14n","8459","71"
"ns23n","8536","68"
"nprin","8775","6C"
"nt32n","8806","62"
"n432n","9079","6F"
"nq14n","9483","31"
"nprin","9830","35"
"n18sn","10213","75"
"nq15n","11869","31"
"ne14n","12486","62"
"ns14n","13331","36"
"n231n","13415","71"
"n18nn","14088","34"
"nr02n","14503","36"
"ns15n","14722","31"
"ne15n","15283","31"
"nzx3n","15326","62"
"nzx3n","15995","36"
"nzxvn","16377","77"
"nzx3n","16971","6D"
"nzxsn","17445","34"
"nzx3n","17561","34"
"nzxsn","19002","62"
"nzxsn","19197","77"
"n280n","20250","31"
"n2s4n","22298","71"
"n280n","22878","73"
"n2s4n","24487","6D"
"nv12n","29751","62"
"nr33n","29823","35"
"nn32n","31428","35"
"nv12n","32781","31"
"nv34n","32853","77"
"nv34n","33284","73"
"nr34n","35054","62"
"nv33n","36929","35"
"nv22n","37102","34"
"nv34n","37341","36"
