"CarName","JPName","USName","EUName","BlockedInJapan","BlockedInUSA","BlockedInPALFIGS","BlockedInPALEnglish"
"a-a7r","[R]RX-7 A-spec LM Edition","[R]RX-7 A-spec LM Edition","[R]RX-7 A-spec LM Edition","False","False","False","False"
"a-emn","Mazdaspeed Demio A-spec","Mazdaspeed Demio A-spec","Mazdaspeed Demio A-spec","False","False","False","False"
"a-emr","[R]Mazdaspeed Demio A-spec","[R]Mazdaspeed Demio A-spec","[R]Mazdaspeed Demio A-spec","False","False","False","False"
"a222n","Savanna RX-7 GT-Turbo '83","Savanna RX-7 GT-Turbo '83","Savanna RX-7 GT-Turbo '83","False","False","False","False"
"a222r","[R]Savanna RX-7 GT-Turbo '83","[R]Savanna RX-7 GT-Turbo '83","[R]Savanna RX-7 GT-Turbo '83","False","False","False","False"
"a26sn","Roadster 1.6 S Package '98","Mazda MX-5 Miata 1.6","Mazda MX-5 1.6(J) '98","False","False","False","False"
"a26sr","[R]Roadster 1.6 S Package '98","[R]Mazda MX-5 Miata 1.6","[R]Mazda MX-5 1.6(J) '98","False","False","False","False"
"a26ss","Delete","Delete","Delete","True","True","True","True"
"a28bn","RX-7 Type RB '98","RX-7 Type RB '98","RX-7 Type RB '98","False","False","False","False"
"a28br","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","False","False","False","False"
"a28bs","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","[R]RX-7 Type RB '98","False","False","False","False"
"a28rn","RX-7 Type R '98","RX-7 Type R '98","RX-7 Type R '98","False","False","False","False"
"a28rr","[R]RX-7 Type R '98","[R]RX-7 Type R '98","[R]RX-7 Type R '98","False","False","False","False"
"a28rs","[R]RX-7 Type R '98","[R]RX-7 Type R '98","[R]RX-7 Type R '98","False","False","False","False"
"a28sn","RX-7 Type RS '98","RX-7 Type RS '98","RX-7 Type RS '98","False","False","False","False"
"a28sr","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","False","False","False","False"
"a28ss","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","[R]RX-7 Type RS '98","False","False","False","False"
"a2aan","Mazdaspeed AZ-1 A-spec","Mazdaspeed AZ-1 A-spec","Mazdaspeed AZ-1 A-spec","False","False","False","False"
"a2abn","Mazdaspeed Roadster B-spec","Mazdaspeed Roadster B-spec","Mazdaspeed Roadster B-spec","False","False","False","False"
"a2azn","Autozam AZ-1 '91","Autozam AZ-1 '91","Autozam AZ-1 '91","False","False","False","False"
"a2bgn","Familia GT-R '92","Familia GT-R '92","Familia GT-R '92","False","False","False","False"
"a2bgr","[R]Familia GT-R '92","[R]Familia GT-R '92","[R]Familia GT-R '92","False","False","False","False"
"a2bin","Familia Interplay '89","Familia Interplay '89","Familia Interplay '89","False","False","False","False"
"a2bir","[R]Familia Interplay '89","[R]Familia Interplay '89","[R]Familia Interplay '89","False","False","False","False"
"a2brr","[R]Familia Rally Car","[R]Familia Rally Car","[R]Familia Rally Car","False","False","False","False"
"a2bsn","Familia GT-X '92","Familia GT-X '92","Familia GT-X '92","False","False","False","False"
"a2bsr","[R]Familia GT-X '92","[R]Familia GT-X '92","[R]Familia GT-X '92","False","False","False","False"
"a2gcn","Mazdaspeed RX-7 GT-C '99","Mazdaspeed RX-7 GT-C '99","Mazdaspeed RX-7 GT-C '99","False","False","False","False"
"a2gcr","Delete","Delete","Delete","True","True","True","True"
"a2gln","Demio GL-X '99","Demio GL-X '99","Demio GL-X '99","False","False","False","False"
"a2glr","[R]Demio GL-X '99","[R]Demio GL-X '99","[R]Demio GL-X '99","False","False","False","False"
"a2gsn","Demio GL-X Special '98","Demio GL-X Special '98","Demio GL-X Special '98","False","False","False","False"
"a2gsr","[R]Demio GL-X Special '98","[R]Demio GL-X Special '98","[R]Demio GL-X Special '98","False","False","False","False"
"a2l7r","[R]RX-7 GT-C LM Edition","[R]RX-7 GT-C LM Edition","[R]RX-7 GT-C LM Edition","False","False","False","False"
"a2mkr","[R]RE Amemiya Matsukiyo RX-7 '99","[R]RE Amemiya Matsukiyo RX-7 '99","[R]RE Amemiya Matsukiyo RX-7 '99","False","False","False","False"
"a2ran","Mazdaspeed Roadster A-spec","Mazdaspeed Roadster A-spec","Mazdaspeed Roadster A-spec","False","False","False","False"
