"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"gas4n","#C8C8B8","31","Casablanca White","Casablanca White"
"gas4n","#A0A0A0","34","Aluminium Silver Metallic","Aluminium Silver Metallic"
"gas4n","#707070","35","Quartz Gray Metallic","Quartz Gray Metallic"
"gas4n","#202020","36","Brilliant Black with Clearcoat","Brilliant Black with Clearcoat"
"gas4n","#504810","37","Mocha Brown Pearl Effect","Mocha Brown Pearl Effect"
"gas4n","#303030","38","Volcano Black Pearl Effect","Volcano Black Pearl Effect"
"gas4n","#801008","62","Laser Red","Laser Red"
"gas4n","#481020","65","Hibiscus Red Pearl Effect","Hibiscus Red Pearl Effect"
"gas4n","#407040","6C","Paradise Green Metallic","Paradise Green Metallic"
"gas4n","#105028","6D","Cactus Green Pearl Effect","Cactus Green Pearl Effect"
"gas4n","#C8B800","70","Imola Yellow","Imola Yellow"
"gas4n","#104080","71","Nogaro Blue Pearl Effect","Nogaro Blue Pearl Effect"
"gas4n","#303050","72","Azure Blue Pearl Effect","Azure Blue Pearl Effect"
"gas4n","#282838","73","Ming Blue Pearl Effect","Ming Blue Pearl Effect"
"gas4n","#202030","74","Velvet Blue","Velvet Blue"
