"Car","Price","Colour"
"t271n","3186","69"
"t261n","3773","6B"
"ttr1n","5418","62"
"ttr1n","6485","31"
"tlv1n","6869","31"
"ttron","7796","36"
"tlevn","8264","31"
"tstln","9454","36"
"tspon","9603","36"
"tstln","9994","34"
"tspon","10194","71"
"tspon","11301","31"
"tceln","12149","62"
"tm2vn","12753","6D"
"tmrln","13523","62"
"tsorn","13752","62"
"tcegn","15184","62"
"t2c3n","15292","34"
"tcegn","15835","71"
"t2a1n","16643","6D"
"t2a1n","17388","34"
"tcegn","17512","34"
"t2spn","17906","34"
"tmr2n","18181","31"
"tsprn","20001","31"
"tsoon","20109","6D"
"tsprn","21559","71"
"tsonn","22666","71"
"tspnn","26713","36"
"tspnn","27577","31"
"t22gn","114142","36"
"t22gn","119244","31"
